,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
34,The bus is crowded,A bus is crowded,"[ 0.4487461  -1.5601053   2.5667534  ...  0.20285672 -2.899261
  1.2487624 ]","[-0.01687789 -1.519453    1.9510449  ... -0.25083357 -3.777998
  1.1769786 ]"
35,The plane is flying,A plane is flying,"[ 2.1577463   1.0120533   1.2193065  ...  0.01797287 -2.6209633
  2.359754  ]","[ 1.7066532   2.3245637   0.90389454 ...  0.0944182  -4.6880956
  3.9153228 ]"
36,The ship is sailing,A ship is sailing,"[-1.5283871   2.2525935   2.6052532  ...  1.3218222  -1.3055393
 -0.25068164]","[-2.072744    2.9790432   2.903699   ...  0.67989    -2.0837662
  0.05314699]"
37,The boat is sinking,A boat is sinking,[-0.2076467  2.6807594  1.4756464 ...  1.3968496 -1.5238948  1.8553334],"[-0.05692902  3.8487406   0.6329965  ...  1.397155   -3.4485896
  2.5308328 ]"
38,The bicycle is broken,A bicycle is broken,[ 2.960349   3.3084092  2.901236  ... -0.9453278 -1.8729316  3.0818129],[ 2.7154055  2.7441149  3.112982  ... -1.6302149 -1.9959557  2.759322 ]
39,The phone is ringing,A phone is ringing,"[-0.4398071   5.5755463   1.5339587  ...  0.13172576 -2.6598678
  2.0894449 ]","[ 0.13299638  5.206082    2.6299527  ... -0.26161468 -1.2578092
  1.4660618 ]"
40,The television is on,Television is on,"[-0.86689115  2.670363   -0.1788744  ... -0.11072254 -2.3649294
  2.0204911 ]","[-0.94794744  1.7286527   0.66174656 ... -0.40089396 -1.7985591
  3.0602565 ]"
41,The computer is working,A computer is working,"[ 2.84817     6.9686527   1.3887019  ... -0.29574794 -3.2962976
  2.0686564 ]","[ 2.8563378   7.455574    1.1666217  ... -0.47860363 -3.7390943
  3.0573835 ]"
42,The internet is slow,The internet is slow.,[ 0.7299007  2.7893848  2.0736659 ... -0.5320996 -1.774405   2.1572783],[ 0.1448656  2.928886   2.2729075 ... -0.6064488 -1.8534667  1.5893064]
43,The email is important,An email is important,"[-0.30947405  4.6838093   2.4949915  ... -2.1895275   0.73521256
  1.2019744 ]","[ 0.8458372   5.915018    4.135634   ... -2.5183754   0.45776093
  2.2222867 ]"
44,The letter arrived,A letter arrived,"[ 0.11257648  2.148448    3.1230981  ... -1.5012203  -0.7981027
  2.511905  ]",[ 1.0533065  2.8654737  2.9564993 ... -2.028604  -0.5125634  2.3236609]
45,The package was delivered,A package was delivered,"[-0.30695748  3.560278    2.0426688  ... -0.8775561   0.24251527
  1.8216126 ]","[ 0.13477302  4.135457    2.430571   ... -2.4587798  -1.0465332
  0.47644967]"
46,The news is shocking,News is shocking,"[-1.0766346   1.5198568  -0.98049617 ...  0.17545903 -1.9152396
  2.2668977 ]","[-1.6982312   2.3876536   0.49627176 ... -1.155564   -3.5283163
  3.11358   ]"
47,The story is interesting,A story is interesting,"[-0.69116986 -1.134312    1.236679   ...  0.530044   -2.1716557
  3.0912862 ]","[-1.8809774  -1.1921927   1.6865008  ...  0.42842427 -1.8415673
  4.070055  ]"
48,The song is beautiful,A song is beautiful,"[ 0.918868    2.7248983   0.9864747  ... -0.69861925 -0.11534616
  0.6834246 ]","[-0.17664587  2.6772072   0.77888316 ... -1.1218998   0.20618322
  0.79122716]"
49,The painting is amazing,A painting is amazing,"[-2.6091952e+00  9.3740225e-04  1.2192712e+00 ... -1.2047139e+00
 -1.1988724e+00  3.0359421e+00]","[-2.3927555   0.56550956  1.3088065  ... -0.88693464 -1.2081395
  2.5665853 ]"
50,The sculpture is impressive,A sculpture is impressive,"[-3.1593175  -0.03577514  0.07673106 ... -2.118855   -0.5877772
  3.663001  ]","[-3.1677945   0.5741911   0.9595936  ... -2.2065003  -0.47790837
  3.7973576 ]"
51,The museum is closed,The museum is closed.,[ 0.6350251 -3.0650303  1.0462146 ... -1.2289698 -2.6358404  2.4108255],"[ 0.32237768 -1.5162146   2.1105623  ... -1.1641757  -2.407596
  2.1584134 ]"
52,The park is crowded,A park is crowded,"[ 3.364067   -5.335655    1.4607749  ... -0.50338495 -2.2006721
  2.8299866 ]",[ 2.2690358 -4.8561087  2.5372238 ... -1.4118967 -2.7015522  2.9104958]
53,The library is quiet,The library is quiet.,"[-0.01207381 -1.0558906   0.7746582  ... -0.3790509  -1.8748015
  2.2680924 ]","[-0.31008396 -0.40198222  1.5136293  ...  0.19123368 -1.0288465
  2.547664  ]"
54,The restaurant is busy,A restaurant is busy,"[ 1.4217035  -4.2296333   1.2545028  ... -0.62842697 -3.0647297
  2.9711256 ]",[ 0.9089968 -4.464347   2.3187413 ... -0.8899721 -4.460126   2.0211189]
55,The café is cozy,The café is cozy.,[ 2.287231  -5.522464   2.5587206 ... -1.243711  -2.352442   3.629397 ],[ 2.2181213 -5.7484903  3.233708  ... -1.0422518 -2.0529454  3.714749 ]
56,The shop is open,A shop is open,"[ 1.0554508  -4.067501    4.2561393  ... -0.06983098 -2.8885767
  1.1249187 ]","[ 0.9171195  -2.802814    6.544717   ... -0.68672067 -2.949708
  0.28878817]"
57,The store is closed,The store is closed,"[ 0.7910527  -3.283102    4.0794244  ...  0.39297324 -2.0210025
  0.5594942 ]","[ 0.7910527  -3.283102    4.0794244  ...  0.39297324 -2.0210025
  0.5594942 ]"
58,The market is bustling,A market is bustling,"[ 0.7437232  -1.9649462   2.931446   ... -0.29686886 -2.4000058
  2.7062275 ]","[ 0.04121852 -2.2378547   2.1790352  ... -0.7897926  -2.0636787
  1.9492401 ]"
59,The street is busy,A street is busy,"[-0.00353783 -2.1207652   1.8081492  ...  1.5954032  -2.5394232
  1.7277652 ]","[ 0.25608152 -3.4372034   3.8162508  ...  0.7309639  -3.6781175
  2.0669    ]"
60,The city is large,A city is large,"[-0.4171935   0.08363633  2.4537585  ...  0.18430851 -4.2421665
  2.4382925 ]","[-0.55732167 -1.2416338   2.3691208  ... -0.5703104  -3.4844327
  2.111091  ]"
61,The town is small,A town is small,"[ 2.3597507  -3.2735813   2.7384386  ...  0.41658455 -4.7372794
  2.7955189 ]","[ 2.0043125  -4.8297033   3.4283276  ... -0.10386109 -6.176882
  3.6861253 ]"
62,The village is peaceful,A village is peaceful,"[ 1.790113   -3.4133096   0.58994806 ...  0.77342176 -1.4049461
  2.75997   ]","[-0.5432943  -2.8449683   0.8982918  ... -0.24423647 -2.6737266
  2.4361868 ]"
63,The country is beautiful,The country is beautiful.,"[ 0.33138967 -0.63965124  1.6503226  ... -1.373525    0.3793514
  4.281094  ]","[ 0.4251514  -0.07295003  2.3480773  ... -0.7566199   0.05465796
  3.8413634 ]"
64,The mountain is high,A mountain is high,[ 1.0634865  1.6895033  1.2984759 ...  0.7307671 -2.0238533  2.7090898],"[ 0.9647876   1.5981183   1.9647849  ... -0.49956226 -1.1797016
  2.747409  ]"
65,The river is long,A river is long,"[ 0.38376278  1.0438374   1.7063198  ... -0.53736746 -4.2814674
  0.98405766]","[ 0.17544554  2.3677845   2.8950448  ... -1.1591034  -3.0569046
  0.7140975 ]"
66,The lake is calm,A lake is calm,[ 1.2308457 -1.0693815  1.1708598 ... -1.351107  -2.4577665  3.9211593],"[ 0.37029326  0.19909333  1.0177801  ... -1.1671494  -2.7725027
  3.5454383 ]"
67,The sea is vast,The sea is vast.,"[ 0.77018684  4.3924265   2.959168   ... -0.37166286 -2.5350742
  0.02877665]","[-0.45355287  4.1268277   4.1942706  ... -0.05901213 -2.047332
 -0.27054366]"
68,The ocean is deep,The ocean is deep.,"[-0.92844534  4.339344    3.169371   ... -0.38398027 -4.004792
  1.2622533 ]","[-1.5416276   4.704095    4.4208217  ... -0.01256254 -3.5572
  1.0001234 ]"
69,The beach is sandy,The beach is sandy.,"[ 1.5122323  -0.45683765  2.9624228  ... -0.7392866  -1.2677124
  2.3581018 ]","[ 2.2171717   0.6002709   4.4177246  ... -0.07025361 -0.97782785
  2.8059878 ]"
70,The desert is hot,A desert is hot,"[ 0.2910594   2.439946    2.618704   ... -0.73255765 -1.5589828
  3.4579697 ]","[ 0.3257503   1.8597028   3.7825456  ... -0.80126244 -0.6343585
  3.5348434 ]"
71,The forest is dense,A forest is dense,"[ 0.26291636 -1.020744    1.1562872  ... -1.5606668  -0.8901496
  1.741081  ]","[ 0.62070405 -0.23652577  2.9945188  ... -2.5809643  -1.7941273
  1.500687  ]"
72,The jungle is humid,A jungle is humid,"[ 0.39923358  2.2230158   0.87655437 ... -0.18946782 -1.2670895
  2.135876  ]","[ 0.5704381   2.4871736   1.562644   ...  0.08261028 -0.090417
  2.0890784 ]"
73,The field is green,A field is green,"[ 0.67805415  0.53579897  1.8593192  ... -0.14522201 -4.13163
  5.0111966 ]","[ 2.6535392e-03  8.0305887e-03  1.9635582e+00 ... -2.1179030e+00
 -3.7327960e+00  4.6192636e+00]"
74,The farm is large,A farm is large,[ 1.190652  -1.6581159  1.3036594 ... -1.4203682 -2.2436326  2.297371 ],[ 0.4283265 -0.9746726  2.463417  ... -2.1937692 -2.204208   1.466097 ]
75,The garden is beautiful,A garden is beautiful,"[ 1.8610433  -3.108128    0.00662881 ... -0.9121264  -3.4897645
  3.757155  ]","[ 1.4083047  -2.655954    0.21918213 ... -1.3480997  -3.4494567
  3.97619   ]"
76,The flowers are colorful,Flowers are colorful.,"[ 1.9141483   3.3625834   0.03619492 ... -0.43681058 -3.7906542
  1.0192556 ]","[ 3.109936    3.8843186  -0.6661453  ... -0.26127997 -3.2118874
  1.3175561 ]"
77,The trees are tall,Trees are tall,"[-0.7868519   0.7076823  -0.717838   ... -2.1678486  -4.0767417
  0.91315967]","[ 0.85531974  3.5021095   2.0397758  ... -3.400755   -3.2443151
  1.1359566 ]"
78,The birds are singing,Birds are singing,"[ 0.6245219   2.0215292  -0.32790542 ... -2.76652    -2.377752
  1.3146896 ]","[ 1.0963647   1.6987859   0.65484214 ... -3.59997    -1.462409
  1.0299981 ]"
79,The animals are sleeping,Animals are sleeping,"[ 0.31980816  2.8061247   1.2163328  ... -2.195314   -1.0332657
  2.3111625 ]",[ 1.0512612  2.0733833  0.8916351 ... -2.794854  -1.2198195  2.5482664]
80,The sun is setting,The sun is setting,[-0.4215927  3.8023174  2.195266  ...  2.0744162 -4.480534   2.5664682],[-0.4215927  3.8023174  2.195266  ...  2.0744162 -4.480534   2.5664682]
81,The moon is shining,The moon is shining,[ 0.5231172  1.7437785  1.596351  ... -2.611384  -5.1935043  2.2760084],[ 0.5231172  1.7437785  1.596351  ... -2.611384  -5.1935043  2.2760084]
82,The stars are twinkling,Stars are twinkling,"[ 0.9417157  -1.1921011  -0.31683564 ...  0.08554177 -4.1415005
  0.09305046]","[ 1.4101126  -0.828904   -0.39099485 ...  0.24342531 -3.6342313
 -0.03241372]"
83,The sky is dark,The sky is dark.,"[-0.33593476 -0.26601058  3.5913153  ... -1.8094856  -5.129803
  1.2081339 ]","[-1.1351316   0.16352844  4.570662   ... -1.0144497  -4.194486
  1.0291917 ]"
84,A dog chased the ball,The dog chased a ball,[ 2.753369   4.0241866 -1.0865625 ... -2.8435185 -1.5353763  3.1450357],[ 2.7963886  3.3020759 -0.7548445 ... -4.189167  -2.0672495  2.7380824]
85,The cat climbed the tree,A cat climbed a tree,"[ 5.710724    2.763833    1.9126095  ... -0.18387552 -2.8944285
  3.956815  ]","[ 4.3112516   1.2104366   2.013377   ... -0.79366195 -2.7276323
  3.859134  ]"
86,A bird sang a song,The bird sang the song,"[ 0.36117417  1.8748798  -0.27626306 ... -3.3239055  -2.4679592
  0.7024847 ]","[ 1.1897585   2.2028103  -0.99734575 ... -3.3913589  -1.5070385
  0.21057162]"
87,The children played in the park,Children played in a park,[ 0.4064001 -0.4256358 -3.189212  ... -3.6682742 -1.769725   2.754432 ],"[ 0.06824116 -3.0122814  -2.025014   ... -2.6349635  -0.18496688
  3.044813  ]"
88,A car drove down the street,The car drove down the street.,"[ 0.19051205  2.6206455   0.8609438  ... -0.2799779  -1.8728724
  2.0179183 ]","[ 0.18648529  4.174269    0.74669474 ...  0.5459311  -1.8881286
  1.4609152 ]"
89,The flowers bloomed in the garden,Flowers bloomed in a garden.,[ 1.0689777 -1.4585946 -1.0042174 ...  0.5797725 -3.0112739  2.1783197],"[ 2.7452157  -1.5205034  -0.29120994 ...  1.5595279  -2.2200413
  1.5872552 ]"
90,A book fell off the shelf,The book fell off the shelf,[ 1.4252949 -0.1969245  0.6227537 ... -2.6814032  4.5854745  3.1959722],"[ 1.123896   -0.14575636  1.0660776  ... -0.22577888  4.4392834
  3.5844123 ]"
91,The movie started late,A movie started late,[-0.445727  -2.5473733  0.3765164 ... -0.7599085 -1.1156839  3.0188549],[-0.9531386 -3.3773534  1.6044433 ... -3.656682  -2.5802007  4.0075912]
92,A pizza was delicious,The pizza was delicious,"[-1.6106524  -1.3559027   1.5943248  ... -2.534634   -0.88143647
  2.9878209 ]","[-6.2603962e-01  9.2740750e-01  2.1510646e+00 ... -6.9620281e-01
 -1.9569993e-03  2.4092686e+00]"
93,The music filled the room,Music filled the room,"[ 0.46106157 -1.1715924  -1.0838543  ...  2.0208697  -0.9278591
  0.8438066 ]","[-0.20784682 -1.5324674  -1.0900319  ...  2.9608588  -2.2522874
  1.0886991 ]"
94,A dog barked at the mailman,The dog barked at the mailman,"[-0.21047987  4.6271167  -0.5698913  ... -2.0116365   0.5468063
  1.7491012 ]","[-0.25487202  4.1830697  -0.5169459  ... -3.1521437   0.10817452
  1.9003494 ]"
95,The rain stopped suddenly,Rain stopped suddenly,"[ 1.5629101   1.3936712   1.3695787  ...  0.35515502 -2.296765
  0.6939181 ]","[ 1.7147479   2.898075    0.69897586 ... -0.01255745  0.30738577
  0.5993604 ]"
96,A teacher helped the student,The teacher helped a student.,"[ 0.20218174  6.6706223   1.7789657  ... -0.00782275  0.3766474
  3.714211  ]","[ 2.781843    6.709358    2.476702   ... -0.60261154 -0.17382978
  2.7672617 ]"
97,The student understood the concept,A student understood a concept.,"[ 0.55686104  3.017564    0.9768759  ... -0.73227274 -2.1173446
  2.685882  ]","[ 0.19527489  3.1784651   1.8496653  ... -1.1177692  -1.4942007
  2.5480063 ]"
98,An answer was found,The answer was found.,"[-0.328493    3.3843799   1.5416254  ... -0.71144676 -1.1610856
  1.1776643 ]","[-0.14282283  3.474334    1.2162238  ... -0.78326833 -0.9694172
  2.386754  ]"
99,The problem was solved,A problem was solved.,"[ 1.8999352   0.7872105   1.9520097  ...  0.24559821 -2.3128572
  0.7739961 ]",[ 0.565293   1.6544902  1.8306973 ... -0.825712  -1.1717422  0.9624382]
100,A solution was implemented,The solution was implemented.,[ 0.9136126  4.8413215 -0.27097   ... -0.8551352 -2.916365   0.5684011],"[ 0.83426934  3.9939895   1.0351194  ... -0.54848456 -0.6726903
  0.9234843 ]"
101,The plan was successful,A plan was successful.,"[ 1.7798768   1.979899    1.4318027  ... -1.1047213  -0.99255043
  2.331914  ]","[ 1.0737398   2.936213    1.6525692  ... -1.6398525  -0.20199566
  1.5411551 ]"
102,An assignment was submitted,The assignment was submitted.,"[ 0.0652793  -0.38529152  1.7825881  ... -1.5198352  -2.7518187
  2.9841075 ]","[-0.48448333  0.3575688   1.4290813  ... -0.838987   -1.9293683
  1.8977655 ]"
103,The report was lengthy,A report was lengthy.,"[-0.4375744  -0.87065935  1.2905759  ... -1.73358    -0.3083993
  2.5267608 ]","[-1.5765916  -1.0177088   1.9852114  ... -1.7251679  -0.43942413
  1.9220947 ]"
104,A meeting was scheduled,The meeting was scheduled.,"[ 0.97059613 -3.578545    0.08546153 ... -2.3188066  -1.5245265
  3.0072591 ]","[ 1.2671653  -2.889021    0.4793294  ...  0.08846626 -0.67251855
  2.1289303 ]"
105,The presentation was compelling,A presentation was compelling.,"[-0.7024244   0.45760584 -0.11743785 ... -1.7245808   0.08262897
  2.0520968 ]","[-2.1952763   0.88591146  0.3389657  ... -2.7460551  -0.03915281
  2.0715451 ]"
106,The project was finished,A project was finished.,"[ 0.26410043 -0.31271887  1.2284359  ... -0.7219361  -1.869431
  1.5953553 ]","[ 0.12947339  0.17518458  2.3815415  ... -1.3135068  -1.6103798
  1.3971269 ]"
107,A team worked collaboratively,The team worked collaboratively,"[ 0.21063569 -1.5552661   0.1685897  ... -2.2780128  -2.527577
  1.4760563 ]","[ 0.06806843 -1.9959457  -0.20796093 ... -1.8497994  -3.2784126
  2.4150827 ]"
108,The party was lively,A party was lively,"[ 2.299147   -2.8545656   0.65135396 ... -0.43618163 -1.5226184
  1.4988892 ]","[ 2.1055176  -5.363344    0.76937723 ... -2.2036822  -2.7293074
  1.0215394 ]"
109,The cake was frosted,A cake was frosted,"[ 0.04726308 -0.45782828  0.0962854  ... -3.206714   -1.5541234
  3.375777  ]","[-1.8105873  -1.1900406   0.14762852 ... -5.197976   -1.6850077
  4.3238173 ]"
110,The coffee was strong,Coffee was strong,"[-3.9401407   2.5784547   4.229119   ... -0.59988475  0.13925606
  2.9637382 ]",[-2.1864777  2.7077863  3.0551949 ... -1.4936081  1.731588   4.7676435]
111,A day was bright and sunny,The day was bright and sunny,"[ 0.42786285 -3.2581322   2.1912034  ... -0.6801091  -1.6631943
  2.1126647 ]","[ 0.8148224  -4.026237    1.62267    ...  0.30636066 -1.2436852
  1.7151159 ]"
112,The sky was clear,A sky was clear,"[ 0.22172676 -1.7084627   3.0460403  ... -2.1655278  -5.0282636
  1.8466346 ]",[ 0.1611827 -1.5975274  3.8361096 ... -2.6048732 -4.8685555  3.07204  ]
113,The grass needed mowing,Grass needed mowing,[ 4.3066506  2.546484   3.2374833 ... -0.9154369 -2.6627316  2.6091   ],[ 3.1528382  2.592405   2.433104  ... -1.3801445 -2.8664997  2.720452 ]
114,A tree was planted,The tree was planted,"[-0.15903181  0.28063303  1.4897891  ... -3.3566446  -3.9159093
  3.0715327 ]",[-0.5499774  0.2770202  1.2973802 ... -2.3961728 -2.4141045  3.1870358]
115,The house was renovated,A house was renovated,"[-1.16816    -4.180262    0.73897743 ... -1.2580377  -2.1486075
  3.8466485 ]",[-2.1953075 -2.6285493  1.9558756 ... -2.032744  -2.283052   3.566937 ]
116,A car was repaired,The car was repaired,"[-0.11817518  4.6840177   1.7789234  ... -1.6286074  -3.4856353
  3.4807186 ]","[-0.30172876  4.861718    1.1415561  ...  0.08088952 -2.3200583
  3.4448357 ]"
117,The train arrived on time,A train arrived on time,"[-0.41120285  0.43271914  2.6232154  ... -1.8509935  -2.5940678
  3.3484836 ]","[ 0.96412504 -0.60900664  4.136569   ... -1.6984752  -4.9010367
  2.7809243 ]"
118,The bus was delayed,A bus was delayed,"[-0.09459603 -1.2683302   1.1452035  ... -0.40051383 -4.0527415
  1.0666081 ]","[-0.17764068 -0.39502352  0.6737096  ... -1.0373809  -4.2342157
  1.1725111 ]"
119,A plane took off,The plane took off,"[-0.13208473  2.1929173   2.2706618  ...  0.08160597 -2.058169
  3.85039   ]",[ 1.1067785  2.4607816  1.9259949 ...  0.6374836 -1.9721906  3.2865734]
120,The ship docked safely,A ship docked safely,"[ 0.24112578  1.7680197   3.7131977  ... -0.47392768 -0.62112105
  1.1318893 ]",[-0.5326743  1.6931223  3.9984612 ... -0.6427948 -0.7960077  0.993502 ]
121,A boat capsized,The boat capsized,"[ 0.67671204  1.699178    0.98180264 ...  0.7958416  -2.7228887
  2.3038418 ]","[ 1.6355274   1.2004485   0.6872778  ...  0.9647662  -0.14092997
  2.411361  ]"
122,The bicycle needed fixing,A bicycle needed fixing,"[ 2.7304318   1.1537066   3.1445265  ... -0.7786889  -0.41912007
  1.9499633 ]",[ 2.1738575  1.7429371  3.5260816 ... -1.9574018 -1.9540337  2.136623 ]
123,The phone was ringing,A phone was ringing,[-0.8719537  3.8834426  2.276897  ...  0.7397286 -1.9314959  2.3531737],"[-0.4528763   3.0784335   2.546186   ... -0.14003432 -1.4930558
  1.9615796 ]"
124,The television showed the news,Television showed the news,"[-1.6788725   0.02853251 -2.2699575  ... -1.7416031  -2.1758454
  4.024367  ]","[-1.3091549   0.41735744 -0.79493    ... -1.2712091  -2.152232
  4.5807915 ]"
125,A computer crashed,The computer crashed,[ 3.3450947  5.2419906  0.4483535 ... -1.9720033 -2.461365   4.1587605],[ 3.1721795  4.960447   0.4105464 ... -1.4164715 -2.3427737  3.7094936]
