,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
10,The fire warmed the room.,The room was warmed by the fire.,"[ 1.0884421   2.4167683   1.0692271  ... -1.1823119  -0.85955447
  3.0699685 ]","[-2.1049871  -0.4350416  -0.08918375 ... -0.9863196  -1.1948885
  2.044582  ]"
11,The children built a sandcastle.,A sandcastle was built by the children.,"[ 2.5209332   1.1447169   1.0031937  ... -3.130817   -1.7726184
  0.10050048]","[ 0.68604606 -0.6214526   4.480028   ... -0.67254376  0.50786185
  2.1845307 ]"
12,The farmer planted the seeds.,The seeds were planted by the farmer.,[-1.3309199  3.325308   2.2964528 ...  0.4185145 -2.0294645  1.5263466],[-1.256012   4.86886    2.042469  ...  0.6379254 -1.5186446  2.408521 ]
13,The mechanic repaired the car.,The car was repaired by the mechanic.,[ 2.2517202  6.0635543 -0.5299224 ... -1.6414858 -1.2688107  2.9721844],"[ 1.454863    5.9190073   1.48436    ... -0.30887222 -0.8941353
  2.5195084 ]"
14,The doctor examined the patient.,The patient was examined by the doctor.,"[ 1.756951    4.619448    3.1934779  ... -0.87495536  0.58114976
  1.0775653 ]","[ 1.3846904   4.1998215   2.928127   ... -0.5786419   1.5766275
  0.58727306]"
15,The writer wrote a novel.,A novel was written by the writer.,"[-0.42405048  1.3060251   1.3743502  ... -1.7020282   1.130651
  2.5622485 ]","[-1.8263279   3.5068111   1.8601182  ... -0.30713952  1.3212914
  0.85442877]"
16,The singer sang a song.,A song was sung by the singer.,"[ 0.6583827   2.863736    0.5837878  ... -0.69854593  0.27428818
  0.64646083]","[-1.1680607   2.8547697   0.82178223 ...  0.0342724  -0.28646138
  1.3343805 ]"
17,The team won the game.,The game was won by the team.,[ 4.164245   2.3644314 -1.1137491 ... -0.6289492 -2.1621294  5.6285954],"[ 2.3064857   0.18204454 -0.04797238 ... -0.49538943 -1.132685
  3.9534216 ]"
18,The company hired the employee.,The employee was hired by the company.,"[ 0.9326405   3.58708     1.5878297  ... -0.62931204 -0.28555375
  3.3487816 ]","[ 2.74134     2.7824638   2.324649   ... -2.6050432  -0.21926793
  2.0132978 ]"
19,The thief stole the money.,The money was stolen by the thief.,[2.8254035  6.4988     3.1365566  ... 1.3209138  3.0100963  0.36419106],"[-0.24206337  8.224614    3.0113246  ...  0.8456614   1.5856086
  0.7783537 ]"
20,The police arrested the suspect.,The suspect was arrested by the police.,[ 1.2622794  7.3016987  1.1190138 ... -1.4849957 -1.5431548  4.2782416],"[ 1.1979063   5.8632455   2.1380994  ... -1.1086217   0.07077423
  1.6182239 ]"
21,The lawyer defended the client.,The client was defended by the lawyer.,"[ 2.1335475   7.943197    0.28843537 ... -1.9785639  -0.6791251
  3.9286375 ]","[ 0.6826718   4.372758    0.43127927 ... -0.6720918  -0.6885458
  2.7482715 ]"
22,The judge sentenced the criminal.,The criminal was sentenced by the judge.,[-0.8624804  7.5538025  2.2107723 ... -1.3766011  0.6876833  5.033051 ],[-1.090655   6.1893063  3.0408146 ... -0.8938139  2.2510953  2.495775 ]
23,The jury reached a verdict.,A verdict was reached by the jury.,"[-2.0133574   2.8598416   0.90370077 ...  2.373922   -0.16903408
  4.800243  ]","[-2.5579057   1.8643345   2.327862   ...  1.210399   -0.61993873
  4.1211634 ]"
24,The witness testified in court.,Testimony was given in court by the witness.,"[-0.7377567   3.4350326   1.2024664  ... -0.30603364  0.03746863
  2.9738874 ]","[-1.028393    2.114307    0.37060595 ...  0.4495314  -0.14223012
  2.947555  ]"
25,The dog bit the postman.,The postman was bitten by the dog.,[ 3.593944   3.811643   0.9270603 ... -1.5280799 -1.3947209  3.326241 ],"[ 1.8176111   4.3940196   0.24908835 ... -1.0983654  -0.2094283
  1.9936477 ]"
26,The bee stung the child.,The child was stung by the bee.,"[ 2.9014537   3.349102    1.798579   ... -0.09904582 -1.9660571
  2.1612155 ]",[ 1.434734   3.8178854  1.0580409 ... -0.7369866 -1.8656265  2.6078258]
27,The cat scratched the furniture.,The furniture was scratched by the cat.,"[ 5.628225    2.4916143   1.8739635  ... -0.46210638 -0.8208122
  3.4415474 ]",[ 1.1757758 -1.1508701  2.2456508 ... -1.5675584  1.7071967  4.196616 ]
28,The bird built a nest.,A nest was built by the bird.,"[ 4.760575    2.3567247   2.7543972  ... -3.603305    0.10504389
  1.8223258 ]","[ 2.4917395e+00  6.8973887e-01  3.2615008e+00 ... -3.4871104e+00
 -1.8403679e-03  2.4406998e+00]"
29,The squirrel buried the nut.,The nut was buried by the squirrel.,[ 2.326745   4.853704   3.3965514 ... -2.5534303  2.0216208  1.193584 ],[ 1.3532141  4.7286987  2.6281946 ... -1.8572456  2.5883324  2.1039696]
30,The mouse ate the cheese.,The cheese was eaten by the mouse.,"[ 4.8192945   5.320785    3.5930068  ... -1.2645993   0.23042305
  1.6017543 ]","[ 2.5269918   3.6227565   5.050601   ... -1.2527684   0.5631516
  0.46536967]"
31,The wolf howled at the moon.,The moon was howled at by the wolf.,"[ 0.1631451   3.0797257  -1.4994329  ... -1.4040362   0.24231774
  2.1711206 ]","[-1.1118176   1.1262968  -0.35091257 ... -1.540158   -0.85830915
  1.6524242 ]"
32,The fox jumped over the fence.,The fence was jumped over by the fox.,"[ 0.3806293   1.7151601  -0.33711857 ... -1.1433195  -2.1122882
  6.0507083 ]","[ 0.27256238  1.4782016   0.7273052  ... -0.8747139  -0.42429247
  4.892043  ]"
33,The bear climbed the tree.,The tree was climbed by the bear.,[ 4.099112   3.031624   0.8181656 ... -1.9395789  1.1441698  2.9331186],[ 1.9084297  2.1849613  2.2110353 ... -1.1851064  1.045016   2.7280757]
34,The lion roared loudly.,A loud roar was made by the lion.,"[-0.6846486   6.080757    0.5079849  ... -0.317344   -0.02689064
  2.7181556 ]","[-4.26206     4.5457215  -0.29348233 ... -0.11663706  1.0644215
  3.1699398 ]"
35,The elephant trumpeted.,A trumpet was sounded by the elephant.,[ 0.9486953  4.007445   1.1971127 ... -0.4789895  0.5969436  2.399679 ],"[-2.5322857   4.7338557   0.37154558 ... -0.27744612 -0.04023272
  3.258285  ]"
36,The monkey swung from the branch.,The branch was swung from by the monkey.,"[ 2.166889    2.9498875   1.8433636  ... -0.28430942  1.1814998
  1.3669711 ]","[-1.0078806   2.5338335   2.7322354  ...  0.86452144  1.6718458
  1.3640885 ]"
37,The giraffe ate the leaves.,The leaves were eaten by the giraffe.,"[ 0.36378473  2.2686057   2.3171763  ...  0.41395235 -1.8053687
  1.2365183 ]","[ 0.39815596  1.2375575   1.3106784  ... -1.6938272  -2.2269998
  0.2511903 ]"
38,The zebra ran across the plain.,The plain was run across by the zebra.,"[-1.1831192   2.7296128   1.2275696  ...  0.79532814 -2.9614966
  4.43111   ]","[-1.1622602   0.3364429   2.2786267  ...  0.99159575 -1.8860407
  2.1878054 ]"
39,The hippopotamus wallowed in the mud.,The mud was wallowed in by the hippopotamus.,[-2.2029657  1.0420011 -0.7009429 ...  0.61403   -1.4736028  3.4910736],"[-1.7225407  -0.30284694  0.8564753  ...  0.45012084 -0.32915974
  2.708588  ]"
40,The rhino charged at the jeep.,The jeep was charged at by the rhino.,"[-2.106268    4.1071353  -0.77372193 ... -0.15132254 -1.1812081
  2.7353122 ]","[-2.9982069   4.0923696   1.9449946  ...  0.02704983 -0.40618342
  3.8217683 ]"
41,The tiger stalked its prey.,Its prey was stalked by the tiger.,"[ 0.9363524   1.3952043   1.7275194  ...  0.51275456 -1.3522328
  2.8822484 ]","[-0.97461236  2.4948397   1.5369084  ... -0.26386344  0.0901626
  2.2830985 ]"
42,The cheetah ran swiftly.,Swift running was displayed by the cheetah.,"[ 0.77538216  2.9296472   1.6697922  ... -1.9143248  -2.6206284
  2.9755473 ]","[ 0.10143693  1.1166689   0.8220706  ...  0.727315   -1.6857874
 -0.00743183]"
43,The eagle soared through the sky.,The sky was soared through by the eagle.,[ 1.7373472  5.609652   2.0965981 ... -0.8932389 -3.3528347  2.7426991],"[-0.97890496  0.89762497  3.754776   ... -0.44953462 -2.9986331
  1.1946195 ]"
44,The owl perched on the branch.,The branch was perched on by the owl.,"[ 0.42928904  1.9665443   2.5407476  ... -1.5577757   0.2510154
  2.8522153 ]","[-0.7983688  -0.11116634  1.8146318  ...  1.1165546  -0.62561214
  1.9488109 ]"
45,The hawk caught the mouse.,The mouse was caught by the hawk.,[ 5.1442094  6.0686135  1.7718539 ... -2.8760593 -0.8170418  2.9696515],"[ 2.827814    7.5845532   1.9530637  ... -1.8187342   0.80809647
  3.5285668 ]"
46,The parrot spoke.,Speech was made by the parrot.,"[ 1.7629154   2.8378713   3.2840495  ...  0.44410428 -1.2568724
  1.9768044 ]","[-0.7562244   5.719217    0.17858845 ...  0.482786    1.7965182
  2.3839839 ]"
47,The snake slithered through the grass.,The grass was slithered through by the snake.,"[ 1.1311841   0.55885136  2.1163595  ...  0.33660734 -1.2528027
  2.5287116 ]","[ 1.2098486   0.10126875  2.2751315  ... -0.8365196  -3.6580346
  3.6288054 ]"
48,The lizard basked in the sun.,The sun was basked in by the lizard.,"[-1.2923087   2.0218077   1.9280916  ... -0.24993926  0.43957928
  5.2822776 ]",[-2.2895768  0.4969119  2.0564225 ...  1.7285372 -2.5271685  3.1966698]
49,The turtle crawled slowly.,Slow crawling was done by the turtle.,"[ 2.3056788  -0.08236985  2.5818539  ... -0.41415992  0.15147778
  2.666453  ]",[ 1.2882934 -0.4352427  1.9996824 ...  1.1872208  0.9128683  1.2913854]
50,The frog jumped into the pond.,The pond was jumped into by the frog.,"[ 1.5745175   3.8666687   0.08292343 ...  0.2565293  -2.6284251
  6.438871  ]","[-1.2798151   0.88789356 -1.1579938  ...  0.3601215  -2.3129823
  5.939117  ]"
51,The toad hopped across the path.,The path was hopped across by the toad.,[1.9272933  0.9438626  1.6196336  ... 0.75831985 0.49391168 4.467064  ],[1.6391488  0.3174621  1.9263202  ... 1.4582561  0.30732924 2.5606391 ]
52,The fish swam in the river.,The river was swum in by the fish.,"[ 0.03440392  1.9147693   0.53356457 ...  0.759355   -2.6097004
  2.5819986 ]","[-1.2362454   2.1525137   1.0556777  ...  0.68706834 -0.2648993
  2.0406938 ]"
53,The whale sang a song.,A song was sung by the whale.,[ 0.5119794  3.549682   1.4039651 ... -1.6173371 -1.0422878 -0.6887794],"[-0.94128597  3.1095774   1.3391774  ... -0.14452277 -0.6956817
  0.9992209 ]"
54,The dolphin leaped from the water.,The water was leaped from by the dolphin.,"[-0.06185585  5.438835    0.4171071  ... -0.51046914 -2.209341
  2.923614  ]","[-1.0317743   3.715468    1.558801   ... -0.33603245 -2.106484
  3.9064884 ]"
55,The shark attacked the seal.,The seal was attacked by the shark.,"[ 1.447388    5.5089355   3.4079914  ... -0.9224782  -0.45229807
  3.014885  ]",[-1.6767576  6.926282   1.8839085 ... -2.1717637  1.1457222  1.3156505]
56,The octopus hid in the rocks.,The rocks were hidden in by the octopus.,[1.6081872  1.5203745  4.181837   ... 0.63731503 0.29890183 0.73958576],"[-0.11361621  1.2053846   3.509581   ... -0.11017237  0.7215312
  0.93481815]"
57,The crab scuttled sideways.,Sideways scuttling was done by the crab.,[1.2533337  1.1317056  2.9921155  ... 0.21811959 0.78889686 1.7002566 ],"[ 2.3264315  -1.1151719   3.741062   ...  0.8449367   1.7456647
  0.12371475]"
58,The lobster cooked in the pot.,The pot contained the cooking lobster.,"[-1.9211874   2.6672306   2.1253514  ... -0.54089665 -0.91779375
  3.7097862 ]","[-0.11900316  2.90345     3.4555376  ...  1.429208   -2.1949856
  3.303095  ]"
59,The shrimp swam quickly.,Quick swimming was performed by the shrimp.,"[ 0.756656    1.5127958   2.3238447  ...  0.47748885 -0.564584
  2.7829616 ]","[ 1.2300806   0.9441471   0.52591276 ...  0.6181092  -0.9192838
  2.151881  ]"
60,The clam opened its shell.,The shell was opened by the clam.,"[ 2.9321089   4.6446548   3.31726    ... -0.04946929 -0.13279676
  0.72645074]","[ 0.56311667  4.186321    1.3176817  ... -0.34668916 -0.29917395
  1.8263915 ]"
61,The oyster produced a pearl.,A pearl was produced by the oyster.,"[-0.6233533   4.476459    3.2606442  ... -0.88091916 -0.49911052
  2.0604444 ]","[-2.5540977   5.966655    2.772964   ... -0.93034774 -1.2498019
  1.2933841 ]"
62,The starfish clung to the rock.,The rock was clung to by the starfish.,"[ 1.916268    2.4191334   3.471896   ...  2.6299303  -1.1076692
  0.65156406]",[1.405932  2.976516  3.1985438 ... 1.1690027 0.7333748 1.2477726]
63,The seagull flew above the ocean.,The ocean was flown over by the seagull.,"[ 1.0596342   3.7673345   4.508482   ... -0.48756635 -0.50665087
  1.5157033 ]","[-0.43890983  3.9731474   2.2557168  ... -0.4567474  -1.817698
  1.6979235 ]"
64,The penguin waddled on the ice.,The ice was waddled on by the penguin.,"[-9.8760319e-01 -6.7345899e-01 -1.0799170e-03 ... -7.4803787e-01
  9.3675900e-01  1.2857703e+00]","[ 0.04620606  0.05814746  0.7205794  ... -1.0070633   0.6533126
  0.5566512 ]"
65,The polar bear hunted the seal.,The seal was hunted by the polar bear.,"[ 1.2518919   4.1049013   0.19460465 ... -1.9675964   0.043744
  1.3556491 ]","[-1.6970105   6.3393574   0.98418605 ... -3.457292    2.988561
  0.5970134 ]"
66,The walrus rested on the ice floe.,The ice floe was rested on by the walrus.,"[-2.2220488   0.09990606  2.1460235  ... -1.0921682   3.146978
  0.42455474]","[ 0.21768658  0.44841814  1.8861116  ... -1.580113    2.6184974
 -0.06697497]"
67,The reindeer pulled the sleigh.,The sleigh was pulled by the reindeer.,[ 0.810848   0.81157   -1.1771493 ... -3.5167198  2.7422082  1.3954489],"[ 0.24662462 -0.08252852  0.64338577 ... -4.064167    1.6991047
  0.4317328 ]"
68,The husky pulled the sled.,The sled was pulled by the husky.,[ 1.123631   2.4334393  1.2763493 ... -2.1802447  1.5696901  2.6350234],"[-0.57967204  2.2447042   0.72006965 ... -3.5945435   1.6368014
  3.2063484 ]"
69,The cat slept on the couch.,The couch had the cat sleeping on it.,"[ 5.7277      2.2523777   0.66121167 ... -0.2023875   0.03247234
  6.0501223 ]","[ 0.2834287  -1.8985426   0.72999275 ... -0.53009397  1.4028275
  6.193598  ]"
70,The bird flew away.,Flight was taken by the bird.,"[ 1.2789341   4.1646338   3.0305095  ... -1.359494    0.94969195
  3.5973282 ]","[-0.7776208   3.3680954   2.6512449  ... -0.09504883  0.298297
  3.1259885 ]"
71,The dog barked loudly.,A loud bark was made by the dog.,"[-0.71929693  3.8277607   0.6209942  ... -2.7161882  -0.2371748
  0.84154385]","[-3.2501705   4.8989735  -0.23102647 ... -0.10728143  2.974765
  1.2954977 ]"
72,The sun set in the west.,The west received the setting sun.,"[-0.22023644  1.343393    3.1574385  ...  2.9845467  -0.37890354
  2.9377227 ]",[-1.8939657  3.0548475  1.3099289 ...  1.8708351  3.0496871  4.5257206]
73,The moon rose in the east.,The east yielded the rising moon.,"[ 1.7593628  -0.07081352  2.3225932  ... -0.61719465 -1.8619746
  3.852014  ]",[0.2710581 2.4421442 1.5157081 ... 1.8360568 1.3534803 4.2808475]
74,The stars shone brightly.,Bright shining was performed by the stars.,"[ 0.26294175  0.6813381  -0.19041884 ... -1.0791407  -2.9536018
  1.9342667 ]","[-1.1824396   0.65613663  0.24407803 ... -0.09742916 -2.9624915
  1.5380226 ]"
75,The wind blew softly.,Soft blowing was produced by the wind.,"[ 3.7096133   1.7120367  -1.2575896  ...  0.39999306 -0.2895648
  0.49866885]","[ 1.3759457   3.1128082   1.6081512  ... -0.35368577  1.6104754
 -0.22462384]"
76,The rain fell gently.,Gentle falling was seen in the rain.,"[ 2.6202488   1.0068624   0.17198305 ... -0.58583343 -3.384885
  1.4098276 ]","[ 1.4005718  -0.3549418   0.34769607 ...  0.07970183  2.2091718
  1.0271143 ]"
77,The snow covered the ground.,The ground was covered by snow.,"[-0.02585284 -1.0941459  -0.64632404 ... -3.2703724  -0.8482941
  1.290917  ]","[-0.35998842  1.6852626   1.5352154  ... -2.5264676  -0.30288073
  3.632668  ]"
78,The ice melted slowly.,Slow melting was undergone by the ice.,[ 3.1721716  0.9221465  2.324356  ... -2.2566726 -1.0217519  1.4220502],"[-9.7529680e-01 -3.1488016e-06  3.0613265e+00 ... -1.0993164e+00
  5.6163393e-02  3.1947517e-01]"
79,The leaves changed color.,Color change occurred in the leaves.,"[ 0.29295668 -2.4204354  -0.02586348 ... -2.327694   -4.319423
  1.332004  ]","[-1.7236651  -0.20594753  1.2570592  ... -0.38805512 -3.6252196
  2.0839546 ]"
80,The flowers bloomed beautifully.,Beautiful blooming occurred in the flowers.,"[ 2.0379303   0.8630151  -0.782125   ... -0.20239566 -3.3958664
  2.2094448 ]","[ 0.90426475 -3.7334738   0.48230812 ...  0.6446712  -1.5540302
  1.572738  ]"
81,The trees grew tall.,Tall growth was achieved by the trees.,"[-0.22058181  0.7947577  -0.2118448  ... -1.6816041  -1.9382302
  1.2966373 ]","[-2.5802314  -1.2403706   0.9293935  ... -0.07462732  0.26721817
  0.8915735 ]"
82,The grass grew green.,Green growth appeared in the grass.,[ 2.5871768  1.9854825  2.5273507 ... -1.4125782 -4.432192   3.6768982],"[-0.50276273 -0.07993739  1.80216    ...  0.00497821  0.823551
  2.2957847 ]"
83,The birds sang sweetly.,Sweet singing was produced by the birds.,"[ 1.6280502   1.907969   -0.75354004 ... -3.1070232  -1.3036145
  0.15671383]","[ 0.46418467  3.8097587  -0.12000474 ... -0.93837035  1.2161237
  0.9105381 ]"
84,The children played happily.,Happy playing was done by the children.,"[ 0.98876154  0.99368685 -1.0904957  ... -4.0701733  -1.872442
  3.079639  ]","[ 0.19505307 -0.51258606  0.99217564 ... -0.7197189   2.7175257
  2.0592866 ]"
85,The adults worked diligently.,Diligent work was performed by the adults.,"[-0.5364634  -1.2016747   1.288863   ... -0.72116005 -0.12104745
  2.392083  ]","[-0.51651835  0.10721753  2.3441255  ... -0.54843295  0.3655783
  0.9582307 ]"
86,The artist sculpted a statue.,A statue was sculpted by the artist.,"[-2.2871907   0.74512273  0.6620873  ... -2.6663609   0.9298243
  2.2321038 ]","[-6.07146     2.4448433   0.36551142 ... -2.7849681   1.5208385
  2.7873116 ]"
87,The baker baked a cake.,A cake was baked by the baker.,"[-0.7940495  -0.23092635 -0.22952294 ... -2.4773133  -1.0792915
  2.7282789 ]","[-1.8658353   0.49446902  1.4933985  ... -1.6905894   0.5761602
  4.2524157 ]"
88,The musician played the piano.,The piano was played by the musician.,"[ 0.38726696  4.4873447  -1.37197    ... -1.0855641  -0.276369
  2.7847078 ]","[-0.47603005  4.3503222   0.44351423 ... -1.0318983   2.2754426
  2.001067  ]"
89,The dancer performed a ballet.,A ballet was performed by the dancer.,"[-0.4920505  -0.35591653 -0.08866658 ... -0.60291815 -3.1623762
  4.5150084 ]",[-1.9476236 -1.3792892  1.1814891 ... -0.7422221 -4.061489   4.29002  ]
90,The singer belted out a song.,A song was belted out by the singer.,"[ 0.08856924  3.0028815   0.35260987 ...  0.76657647 -1.1547967
  0.67192453]","[-1.3993214   2.3181393  -0.48535162 ...  0.42304292 -0.9848608
  1.108089  ]"
91,The chef prepared a delicious meal.,A delicious meal was prepared by the chef.,"[-1.1458967   0.6135203   0.31180376 ... -0.58300024 -1.2669419
  0.98131835]","[-2.7398193   0.97933006  0.48824555 ... -0.7689105   0.13150218
  1.9508748 ]"
92,The carpenter built a house.,A house was built by the carpenter.,"[ 1.0976499   1.2027719   0.79561424 ... -0.6408323   2.901301
  0.13201676]","[-2.9745755  -0.41180453  0.904824   ... -0.9693459   0.72243625
  2.3474948 ]"
93,The plumber fixed the leak.,The leak was fixed by the plumber.,"[ 2.2440207   4.5010824   0.5131162  ... -2.9281447  -1.3994318
  0.87548035]","[ 1.1360413   4.7452855   2.5178726  ...  0.12545207 -3.8989456
  0.2814357 ]"
94,The electrician wired the house.,The house was wired by the electrician.,[ 3.8891335  4.108791   1.3239973 ... -1.127544  -2.8398037  1.0142684],[ 0.4124459  1.7800708  0.7361823 ... -1.6195612 -1.5124247  2.4436798]
95,The painter painted the walls.,The walls were painted by the painter.,[ 2.5861738 -2.5244355  1.6698707 ... -1.4412279 -1.8625835 -0.7469859],"[-1.2154601  -0.9005657   0.26965588 ... -0.02210146 -1.440071
  0.29122868]"
96,The gardener planted flowers.,Flowers were planted by the gardener.,[ 1.6027869 -0.6613668  1.8199729 ... -1.6017294 -2.2947972  1.9521394],"[ 1.5336841   0.21043746 -0.540335   ... -0.39255127 -0.7986996
  1.7644036 ]"
97,The writer penned a short story.,A short story was penned by the writer.,"[-0.19390917 -0.91681445  0.53878313 ... -0.7830213   0.10675827
  1.382479  ]","[-1.8388873  -0.6434194   0.45326975 ...  0.532692   -0.43909335
  1.2132114 ]"
98,The teacher taught the class.,The class was taught by the teacher.,"[-0.7205793   3.3282664   1.8420912  ... -1.922711   -0.62331814
  4.9395347 ]","[-0.50061476  1.0698277   1.6122615  ... -0.13147578 -1.3553851
  3.5158572 ]"
99,The doctor diagnosed the illness.,The illness was diagnosed by the doctor.,[1.9082569  6.96361    2.2340527  ... 0.02555169 0.25341377 3.3345556 ],[ 0.5369077  4.9281387  2.6105294 ...  1.6246045 -0.6290824  1.2944512]
100,The nurse cared for the patient.,The patient was cared for by the nurse.,"[ 4.1088724   3.8765347   1.3107573  ... -1.516473    0.53095675
  2.450772  ]",[ 3.5447595  4.7630615  1.7787385 ... -2.0639362  1.7758126  1.7771987]
101,The mechanic repaired the engine.,The engine was repaired by the mechanic.,[ 2.0769017  6.1999583 -0.5073668 ... -2.151676  -1.0324789  3.2510922],"[ 0.17807722  6.5415463   2.2581522  ... -1.516533   -1.268011
  2.5323715 ]"
102,The scientist conducted an experiment.,An experiment was conducted by the scientist.,"[ 0.06723344  3.3817463   2.104849   ... -0.52964765 -4.171821
  1.5058266 ]","[ 0.85264677  3.5065987   1.7451576  ... -0.32272938 -4.037083
  1.2823143 ]"
103,The engineer designed a bridge.,A bridge was designed by the engineer.,"[ 0.69330865  3.2022088   0.1984756  ... -1.7054962  -1.019723
  0.5356129 ]","[-1.9875506   3.9421089  -0.46397412 ... -0.21406165  0.9739101
  1.631988  ]"
104,The architect planned the building.,The building was planned by the architect.,"[-2.2296803  -2.6408355   0.62768    ...  0.28102025 -1.5546999
  1.5808142 ]","[-3.3064377  -0.80430055 -1.0246944  ...  0.06586958 -0.8692024
  1.9129077 ]"
105,The lawyer presented the case.,The case was presented by the lawyer.,"[-0.20565315  4.554957    1.4046243  ... -1.002844    0.04434176
  3.2137222 ]",[1.0363067  1.8800597  0.676766   ... 0.27585647 0.2153075  2.1390975 ]
106,The judge ruled on the matter.,The matter was ruled on by the judge.,[0.3475648  3.2577834  1.0002202  ... 0.10682957 0.31391144 4.6125956 ],"[-1.4828540e+00  2.2504854e+00  2.1155107e+00 ... -7.8535080e-04
  1.0481799e+00  2.0263119e+00]"
107,The jury deliberated the verdict.,The verdict was deliberated by the jury.,"[-1.6343584  -0.44049338  1.8906335  ...  0.9344109  -3.0235486
  6.6992154 ]","[-2.7684085   1.1117644   2.0127106  ...  0.87135834 -0.3392141
  4.870846  ]"
108,The witness gave testimony.,Testimony was given by the witness.,"[ 1.8666983e-04  3.7062840e+00  1.0587295e+00 ... -4.6015035e-02
  9.3448985e-01  1.0466932e+00]","[-0.7997      2.9488416   0.3406137  ...  0.80008626  0.4421402
  2.4717975 ]"
109,The detective solved the mystery.,The mystery was solved by the detective.,[4.246586   3.1086667  1.2001005  ... 0.6750815  0.24502392 1.9147121 ],"[ 2.1377683   3.488737    2.3724923  ...  1.2708911  -0.73032784
  0.97286665]"
110,The thief escaped from prison.,Prison was escaped from by the thief.,[ 3.4355495  7.0972505  2.1790326 ... -0.9924061  0.6967792  0.871728 ],"[-0.03028631  5.9117584   0.04673086 ... -2.504938    1.1089082
  1.2749008 ]"
111,The police investigated the crime.,The crime was investigated by the police.,"[ 1.0506183   3.405711    0.85926014 ... -0.3388176  -3.955837
  2.1135757 ]",[ 1.6558741  4.22229    1.8828516 ... -0.5678674 -2.1852272  1.177721 ]
112,The firefighters extinguished the fire.,The fire was extinguished by the firefighters.,"[-0.1265148   6.168903    1.0740786  ... -0.04519095 -2.7525208
  2.1180904 ]","[-0.6334427   5.5230784   2.6214538  ...  0.18475254 -2.6904817
  1.1245297 ]"
113,The paramedics treated the injured.,The injured were treated by the paramedics.,[ 1.9614135  5.461086   0.3089606 ... -1.915127  -1.8775585  3.755715 ],[ 0.808674   6.0471206  1.8011583 ... -2.0969753 -2.0853226  1.1425395]
114,The rescuers saved the victims.,The victims were saved by the rescuers.,"[ 1.7400049   6.7889533   0.10634454 ...  0.36368737 -0.789443
  0.2801592 ]","[ 5.5573738e-01  6.7412481e+00  1.7165900e+00 ...  1.5382634e-03
 -1.5098944e+00 -4.3718565e-01]"
115,A storm ravaged the coastline.,The coastline was ravaged by a storm.,"[-0.4035026   0.6004769   3.6394029  ...  0.80426854 -2.3209956
  1.4946891 ]","[-0.883704    1.0643073   3.8943307  ...  1.1792649  -1.1883729
  0.16266625]"
116,The sun warmed the earth.,The earth was warmed by the sun.,"[-0.22326253  3.3841097   2.5589077  ... -0.6950469  -2.2665205
  3.718425  ]",[-3.1993856  7.422964   2.591408  ... -0.985567  -3.4136662  3.318768 ]
