,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
26,It grows rapidly,The wolves howled at night,[ 2.0452619  3.3224552  1.335265  ... -0.8349722 -1.0612575  1.8235936],"[-1.0468825   1.5143051  -2.3592942  ... -2.0507343   0.38774094
  1.0133882 ]"
27,The article was edited for clarity by the editor., He is capable of running a 5k race.,"[-0.5068997   1.8659375  -0.33327395 ... -1.119388   -0.2530163
  0.8952244 ]","[ 2.2852156   4.3854375   1.1388704  ... -0.59832245 -0.73344725
  2.6175187 ]"
28,The library has over 9000 books.,Impressive sets were built by the set designer.,"[-3.7168314  -3.691933    0.43698826 ... -0.4354863  -1.7774346
  2.9750593 ]","[-2.2036214  -1.8681122  -0.49927372 ... -0.834478    1.9175618
  2.544305  ]"
29,He analyzed the data.,The bestseller was displayed prominently by the bookstore.,"[-1.225615    1.8560021   0.34813395 ... -0.6673108  -1.1825349
  3.615209  ]","[-2.4482245  -3.6725383   0.52336067 ...  0.48154545  1.1961815
  1.7098455 ]"
30,The waiter served the food.,The producer created a successful television show.,[ 1.9518164  3.6258075  3.7598505 ... -0.3814257  1.3792772  1.9430102],"[ 0.7118379   1.4316422  -0.30833018 ... -2.286077    0.4356153
  3.1778367 ]"
31,They are tired, The air was extremely humid.,"[ 0.32928887  2.7219715   2.2348416  ... -1.3091296  -1.7191249
  3.7514985 ]","[ 1.6062617   1.7084173   2.518135   ... -0.4600774  -3.003846
  0.04127309]"
32,He read over 100 novels., They are likely to win the game.,"[-1.7418963  -0.91109824  0.02238454 ... -0.82178426  0.711263
  3.1529057 ]","[ 0.89980966  4.5753684  -0.9376945  ...  1.0305504   0.79740274
  3.7529044 ]"
33,The cold was frigid., The pens are on the desk.,[ 1.1352425 -0.2173389 -2.5820398 ... -1.2415481 -1.0674444  1.1496297],"[ 0.15609567  1.7340883   1.0563818  ... -1.9977959  -2.3712134
  1.8793592 ]"
34,The consequence was grave., She drank a large quantity of water.,"[-1.2634455   6.1629577   1.1188003  ... -0.21480012  1.4347019
  1.8655195 ]",[-2.45913    3.7098298  2.8802495 ... -2.1375725  1.1362362  4.0855885]
35, Delays are likely.,Walruses hauled out on land,"[-0.95469445  1.2163353   0.6898907  ... -1.4024475  -0.17636421
  1.2601591 ]","[-1.2844527  -1.1395249   0.48508796 ... -0.26619428  3.681704
  1.9804903 ]"
36,The carpenter framed the house.,I have 15 cats.,"[ 0.31279162 -0.43437985  0.89056164 ...  0.7828765   2.0634534
  0.39351466]","[-0.10823113 -3.0086505   0.88558054 ... -0.8276483  -2.1861725
  2.7782173 ]"
37,The horse ran quickly.,The client was helped to cope with stress by the therapist.,"[ 2.339677    3.174593    0.121979   ... -2.2382903  -0.24212241
  3.5324364 ]","[ 0.24521399  5.423254   -0.04379946 ... -0.4304863   0.8373582
  1.8218569 ]"
38,The engineer designed a sophisticated algorithm., The pizza was extremely cheesy.,"[ 1.0237827   3.7978685   0.05051703 ... -1.3944877  -1.6092447
  0.23378208]","[-1.6175498   0.74894196  3.246546   ...  0.12134853  0.28025103
  1.9279181 ]"
39,The bees buzz around,The jewelry is on the dresser,"[ 0.88753855  0.22367908 -0.44178528 ... -1.5071021  -1.8851715
  0.50981814]","[-2.0798397   0.35970148 -0.35050356 ... -1.8478141   1.8205975
  1.4660977 ]"
40,The reward was substantial.,The police apprehended the thief.,[ 0.702559   6.250913   1.9311931 ... -0.4802348  0.8214998  1.6170794],[ 2.2147765  6.5905194  1.049197  ... -1.2146214 -1.1482795  2.3223786]
41, The exchange was complicated.,The carpenter finished the furniture.,"[ 1.8140421   1.4997416   2.2735338  ... -0.9753264  -0.18375206
  1.8865633 ]","[ 1.1687396  -0.9659876   1.3024445  ... -1.0959694   3.7450097
  0.32404265]"
42,The invention was transformative.,The container is on the counter,[ 2.2151022  4.10892    1.4317439 ... -1.5493942  1.0395977 -1.1891806],"[-0.12096065  2.4800754   3.2614439  ...  0.36578378  0.07523251
  1.7510098 ]"
43,The bird did not perch on a branch.,The galaxy is in space,"[ 0.8865588   3.454667    1.3071483  ... -1.0065727   0.24451764
  2.2416446 ]",[-2.748319   1.3779237  2.106799  ... -0.9790222 -1.5802249  1.836127 ]
44,He won numerous awards.,The lion thundered majestically.,"[ 3.1983886   5.946377   -1.1414165  ...  0.01755712  2.0296032
  4.2973275 ]","[ 0.86688334  4.036527   -1.6042819  ... -1.7271981  -0.5013773
  1.7316766 ]"
45,The book could be well-written.,The cashier accepted the payment.,"[-1.8793714   0.415444    1.912138   ... -0.98940724  2.5998797
  2.896341  ]","[ 3.0484836   7.0235653   1.4250836  ... -0.67957646  3.0943415
  1.8373108 ]"
46,The result was successful.,The market steadily grew during the quarter.,"[ 0.66148436  4.894513   -0.09477858 ... -1.3318609   0.7389461
  3.2501502 ]","[ 2.4618077  -2.1532035   0.28728926 ... -0.02735066  0.9905592
  2.3966513 ]"
47,The rocket launches powerfully,The cheese was sharp.,"[ 0.02420273  5.7973833   3.551911   ... -0.29078978 -3.816772
  2.1150937 ]","[ 0.4389859   2.7010083   4.7260385  ...  0.32619557 -1.7322102
  0.85719717]"
48,The song was sung by the singer.,He jumped over the fence.,"[-0.7296818   3.0173435   0.95306575 ...  0.5150328  -0.13763025
  1.4987183 ]","[-0.49384758  4.5363603   0.36445224 ... -0.5073549  -0.48692343
  6.601126  ]"
49, She bought a large number of pairs of socks.,The environment was supportive.,[-0.538256   1.8943065  1.9465973 ... -1.4263451 -0.7955851  1.9670055],"[ 1.9805095   1.3391175   3.1016216  ... -2.0068772  -0.06285377
  1.4213357 ]"
50, The outcome was negative.,You differentiate clearly,"[ 0.3753074   4.5689025   0.89330196 ... -1.8031082   1.8620522
  1.1027422 ]","[-0.4636306   3.6922789  -0.2523943  ... -1.4001182   0.07128898
  3.0671246 ]"
51,The talent is exceptional.,The satellite is transmitting data,"[-1.50492     3.6213908  -0.04077816 ... -0.1292038  -2.232561
  2.3736942 ]",[-2.7376688  5.344649   2.7783735 ... -0.6534216 -5.6505914  2.9147274]
52,The child might have laughed happily.,The sailors skillfully navigated the vessel.,"[ 0.05829316  3.884611    1.7362385  ... -0.14450899 -2.0346377
  2.0198143 ]","[ 0.02083618  3.0001557   1.3952868  ... -0.2999816  -0.4109942
  0.25478756]"
53,The application was accepted., The scenery is very stunning.,"[ 2.6336327   3.650121    1.4886082  ... -2.4833639  -0.27024874
  0.06620103]",[-1.1454179 -3.1924565  1.6808081 ... -1.1004695 -0.2861718  1.8385843]
54,The scientist conducted a series of experiments., The value is low.,"[-0.88442606  1.3465201   1.3013833  ...  0.19212084 -4.229236
  0.66271496]","[-0.8360674   4.3599043   1.156326   ... -0.30258518  0.15404359
  0.88784695]"
55,The design might be stylish.,The hawks hunt fiercely,"[-2.485751   -1.6359707   0.13366301 ... -1.08357    -3.4179535
  2.4977696 ]","[ 0.93145657  0.70833415  0.9458555  ... -2.7041135  -1.740495
  2.945292  ]"
56,A meeting is at 3 PM,She produced abundantly,"[-0.19161157 -3.674584   -0.02378857 ... -0.80321056 -1.4407866
  2.5195825 ]","[ 0.06319821  3.8704128  -0.9061338  ... -1.1098548  -0.22324362
  2.0939481 ]"
57,The presentation could have been persuasive.,The strategy may have been successful.,"[-2.3632877   1.0413009   0.20685598 ... -1.3162447   1.4292171
  2.7338107 ]","[-0.7365767   3.299637    1.3935992  ... -0.40785775 -1.2074422
  1.074657  ]"
58,The question was answered.,The money was counted by the cashier.,"[-0.23824342  0.49868956  1.1868192  ... -0.70117533 -1.5592397
  0.36437327]",[-0.1960035  5.3259654  1.4991734 ...  0.2786664  0.426698   2.5396683]
59,A street is busy,New policies were implemented by the manager.,"[ 0.25608152 -3.4372034   3.8162508  ...  0.7309639  -3.6781175
  2.0669    ]","[-0.24828082  2.602335   -0.4653715  ... -1.0191832   0.0353021
 -0.13100718]"
60, The economy is shrinking.,The technology was advanced.,"[ 1.9837742e-01  3.3336532e+00  2.1353209e+00 ... -2.4895878e+00
  6.7939761e-04  2.3263407e+00]","[-0.40146464  4.389049    2.1763241  ... -1.3692993  -1.9857346
  1.9352576 ]"
61,The ability is remarkable.,The meteor is in space,"[-0.16871364  6.813318    1.2961228  ... -0.2827364  -0.3028169
  1.4468043 ]",[-1.1669865  4.3133636  1.9062485 ... -0.2972892 -2.2380676  2.6258194]
62,I bought 6 pairs of shoes.,The moment was special.,"[-0.38101253 -1.5946518   0.9858334  ... -1.8677481  -1.5840296
  0.948192  ]","[-1.5343649   1.0330265   0.5425831  ...  0.20854545  0.4037932
  0.80923116]"
63,The manager supervised the team.,Error was corrected.,"[ 2.3624713   0.664804    2.7415454  ... -1.1638864  -0.96413606
  3.9228675 ]","[-3.0974903   2.2274249   3.1515062  ... -1.4434327   0.55749726
  1.8554703 ]"
64,The letter was written.,The product was carefully produced by the manufacturer.,"[-0.09149416  3.4138083   2.2616172  ... -1.2566818   1.1436659
 -0.063202  ]","[-1.8182411   3.935506    0.30387393 ...  0.2798936   2.2470627
  1.9054972 ]"
65,She may not be happy.,The salesperson sold the product.,"[ 0.21607025  3.8284647   0.90126365 ...  0.08643027 -3.4274914
  4.4082446 ]","[ 0.47756338  2.2536776   3.7161539  ... -1.2829562  -0.16716883
  1.8542576 ]"
66,The project succeeded,A team worked collaboratively,"[ 2.7895412   1.2791533  -0.33729818 ... -0.41393828 -1.2812191
  3.1658754 ]","[ 0.21063569 -1.5552661   0.1685897  ... -2.2780128  -2.527577
  1.4760563 ]"
67,The outcome is positive., She is hoping to feel better soon.,[ 1.2209034  4.4862547  1.6836567 ... -1.2606277  0.8874858  2.6056185],"[ 0.20636478  6.6912193   1.0917895  ... -0.2636875   0.59661937
  2.9447262 ]"
68,The technology is advanced.,I segregated items carefully,[ 0.2321713  4.4203978  1.9890658 ... -0.7555319 -2.8856187  2.3496292],"[-0.31629753 -1.1694658   2.5412326  ... -1.4909852   2.6655893
  2.5441651 ]"
69,The bird is above the tree, He is skilled at chess.,"[-0.21336336  3.317509    3.139075   ... -2.7481558  -0.653703
  2.5247858 ]","[ 2.9507668e+00  7.2001934e+00  1.9972659e+00 ...  4.3758053e-02
 -3.6582549e-03  3.7123013e+00]"
70,The toad may have sat on a lily pad., The dinner was slightly rushed.,"[-0.69481087  1.0119126   1.4716579  ... -0.9166556  -0.9973948
  3.6921093 ]","[-0.74286646 -4.0316367   0.45853758 ...  2.4489167  -0.41425776
  1.2357193 ]"
71,The flood inundated the streets.,The laptop is on the desk,[-0.9418565  1.5895331  1.3715721 ...  2.9669592 -2.6609976  1.2300255],"[ 0.3320472   3.5843246   1.4337177  ... -2.4182384  -0.88711125
  2.0366993 ]"
72, The message is extremely concise.,We respond thoughtfully,"[-0.18814242  5.1792374   0.95346665 ... -0.2828808   0.15706141
  1.1133109 ]","[-0.62760866  5.304543    0.22963229 ... -0.8461234  -3.9005208
  0.556462  ]"
73,The pizza is delicious,The niece visited her aunt.,"[-0.4146369   1.6127574   2.6170578  ... -0.47402936  0.26497775
  2.5699565 ]",[ 4.3318324  1.5255762  2.5481665 ... -2.331978  -0.3963989  4.7526245]
74,The store held a sale.,The jar is on the shelf,"[ 0.5398357  -5.9322147   3.7438765  ...  0.7721179  -0.87542886
  0.93676645]","[ 1.5187426   0.8483367   2.439245   ... -0.12817629  0.9523708
  1.5939459 ]"
75,The sunrise was radiant., He should be able to speak fluent French for his job.,"[-0.24774191  0.57979363  2.6773257  ...  0.73610336 -3.4572494
  2.9695811 ]",[-1.0451723  5.898163   1.6961225 ... -1.046786   1.643072   2.4522517]
76,The engineer designed a new technology., The mouse is surprisingly tiny.,"[ 0.7256061   3.8085518  -0.21185528 ... -1.9492581  -1.9645863
 -0.4854126 ]",[ 2.7641485  1.8417096  3.5984726 ... -3.4179935 -0.0151213  2.8185518]
77,The library was peaceful,I complicate unnecessarily,"[ 0.14463219 -1.8744489   0.9862592  ... -0.47027206 -0.89134765
  2.969914  ]","[ 0.89473134  0.8711187   0.7760194  ... -1.4857645  -1.827457
  3.0630941 ]"
78, The day is gloriously sunny.,The secret was concealed.,"[ 0.93584716 -1.0537764   1.8694627  ...  0.44639263 -0.8928517
  1.4297279 ]","[ 1.7708805   5.088445    3.2777648  ...  1.3064611  -0.887846
 -0.23622556]"
79, The atmosphere was hostile.,The suggestion was considered.,"[ 1.0089924   3.2290432   2.1050987  ... -0.18417744 -1.9250848
  0.9337428 ]","[ 0.25929233  1.9237522   2.35108    ... -0.5740154   0.229741
  0.9230183 ]"
80,She used high-quality ingredients.,The challenge may have been daunting.,"[-1.5493444   4.958137    1.1382314  ...  0.21025743 -2.214206
  1.8832182 ]","[-1.6035215   0.95605725  0.43667698 ...  0.12587366 -3.0942318
  1.430657  ]"
81, The team scored many goals.,The trees swayed rhythmically in the breeze.,[ 2.1244922  1.375748  -0.5513472 ... -3.659395  -3.6315594  5.825854 ],"[-1.2634838  -1.4045523  -2.6747198  ... -0.22341028 -0.5738903
  0.60970426]"
82, The solution is ineffective.,Capacity was realised.,[2.3838573  5.272742   0.39290768 ... 0.19220963 0.6011752  0.66374123],"[-2.2122955   2.1358516   2.8628504  ... -0.911647   -0.88367563
  1.1506598 ]"
83,The team was highly productive.,The problem was proactively solved by the employee.,[ 1.7834743  0.4129599  1.7023185 ... -2.2942913 -1.7100481  3.1879559],"[ 0.7179972   2.9047444   1.3084116  ... -1.0966116  -0.75920665
  0.27722892]"
84,It synchronizes perfectly,The wolves did not collaboratively hunt in a pack.,[0.88495374 1.8604954  1.7817276  ... 1.0106701  0.6922331  0.8747915 ],"[ 0.84699035  1.5563827  -0.82551557 ... -1.5064217   1.8308978
  0.8578907 ]"
85,The lake was swum in by the fish., The tea was very strong.,"[-1.7337735   0.85727626  0.55487263 ...  0.7151838   0.05888388
  3.5216782 ]","[-2.1145725   3.2124004   4.9384403  ... -1.1728288  -0.09852592
  3.2703369 ]"
86,The judgment was unjust., He tends to be a good friend.,"[-0.6472727   3.0927334   0.32867604 ... -0.98858404  1.1109617
  2.8466592 ]",[3.486933   3.5379941  0.713225   ... 0.07656144 0.8756094  2.5971463 ]
87,The cat did not purr contentedly on the rug.,The judge listened attentively.,"[ 1.6662892   0.49206194  1.3013079  ... -0.89816    -0.90766
  3.653737  ]",[ 1.12683    4.0565696  2.9745843 ... -1.2150222  0.6092319  2.795913 ]
88,The loss was disappointing.,The anger is justified.,"[-1.2414894   2.1092439   1.2806292  ... -0.93429834 -1.3219602
  2.4036574 ]","[-2.3821678   7.1867323  -0.18721423 ...  0.28950393 -2.624762
  3.7157607 ]"
89,The experience may have been unforgettable.,The bag is in the car.,"[-2.5255132   2.7800756   0.65891516 ... -0.39247188 -1.0347536
  1.2226584 ]","[ 0.29666802  4.8395543   3.1189396  ... -0.6687414  -0.41206226
  1.974573  ]"
90,Artists paint beautiful pictures,The farmer harvested over 1100 bushels of wheat.,"[-1.5545561  -2.5049448   0.18179102 ... -0.91571    -2.1971753
  0.29513568]","[-4.567274    1.1718184   0.48276785 ... -3.5230236  -2.9949436
 -0.756637  ]"
91, She is a very talented writer.,They may not come.,"[ 0.7482535   5.6930475   1.6099757  ... -0.07763755 -4.0850616
  5.0474906 ]","[-0.15399055  2.9356759   0.0432423  ... -0.08465199 -1.650737
  3.8436832 ]"
92, There are a large number of books on the shelf., The comment was irrelevant.,"[-4.0914536  -2.3253107   1.1762223  ... -0.46195823 -0.34071648
  2.2156005 ]","[ 0.19871159  1.8662602   2.4546514  ... -0.8753463   4.0019383
 -0.12642653]"
93,Monkeys swung through trees,The crew packed up the equipment.,"[ 1.0119896  -0.33373004 -0.36163092 ... -0.16425292 -0.05098517
  2.2368093 ]","[ 2.925303   -0.22181277  2.3126605  ... -0.05802113  1.1614263
 -0.07333759]"
94,There were approximately 350 chairs in the hall.,The zebras grazed peacefully.,[-4.3311234 -5.1452723  0.5169944 ...  1.1860982  0.3709416  1.683277 ],"[ 0.09844848 -0.45401335  1.9168142  ... -0.5385033  -1.7795483
  4.940102  ]"
95,The reply was prompt.,They may refuse the offer.,[ 1.4070817  3.547418   1.3259609 ... -0.6811045  0.7000665  0.5961243],"[-0.01733784  8.350824   -0.25024855 ... -0.76914245 -2.4874437
  2.8567553 ]"
96,The beetles did not crawl on the ground.,The third-grader could have solved a math problem.,"[ 1.8013989   1.3838679  -0.74586725 ... -0.7803988  -0.9311975
  3.4456947 ]","[-0.5267067   1.3995296   2.1686327  ... -0.9447501  -0.15662839
  2.1359634 ]"
97,The winter was severe and protracted.,We may lose the game.,"[-0.0147561  -2.7807312  -1.6121205  ... -1.1649007   0.20741823
  1.1000439 ]","[-0.77190524  5.398372    0.0717177  ... -0.8441415  -3.7035007
  2.8619301 ]"
98,The duck swam in the pond.,The bee did not perform a waggle dance to indicate the location of food.,"[ 0.46479797  1.0958593  -1.3594313  ... -0.95590305 -1.4254888
  3.3215451 ]",[ 0.6157946  3.3249166  0.6679628 ... -1.1449835  0.8237874  0.1775499]
99,The polar bears hunted seals on the ice floes.,The patient was treated by the therapist.,"[-0.7926641   1.826469   -0.7704641  ... -3.6146722  -0.38854095
 -0.8251646 ]","[ 1.4616275   6.1708665   1.1415966  ... -1.2829915   2.5159247
  0.63714325]"
100,The student did not diligently prepare for the presentation.,The arctic foxes hunted lemmings,"[-0.92369956  3.3546062  -0.07913806 ... -1.8582723  -0.11350093
  2.4319034 ]","[ 1.4316579   0.98185444  0.73553646 ... -2.5107543  -0.16940835
  0.6983263 ]"
101,The delivery driver delivered the books.,The planet revolved around the sun,"[ 0.4292089   2.058526    1.4584417  ... -0.52208483  2.506234
  1.525165  ]","[-2.2495148   1.1071937   0.86421365 ...  0.6207482  -2.8202357
  1.7620953 ]"
102,Squirrels scamper quickly,The philosophy is profound.,"[ 1.6336216  -0.15770613  0.09995935 ... -1.943667    0.05213988
  1.5966014 ]","[-0.49884087  1.9916489   1.1792709  ...  0.17302693 -2.1960592
  1.8626392 ]"
103,The language is complex., The cost is likely to be high.,"[-1.8924545   0.75164545  3.3226082  ... -1.1584737  -2.3491037
  2.6473165 ]","[-1.5026386   3.3842542   1.8120316  ... -0.03076268 -0.9215436
  2.452641  ]"
104,The snow covered the ground.,The music is loud.,"[-0.02585284 -1.0941459  -0.64632404 ... -3.2703724  -0.8482941
  1.290917  ]","[-1.7456096   2.170508    0.74586743 ... -0.18988094 -0.6464327
  1.5341085 ]"
105,The new beginning was started.,The food might be spicy.,"[-0.6537773  -0.548675    0.5760741  ...  0.15937509 -0.3391188
  1.0209035 ]",[-1.5460025  3.8901126  2.2271693 ...  1.5510219 -3.4322217  3.3389091]
106,The growth could have been substantial., She is considering going to the party.,[-1.4574907  2.6520197  1.3710845 ...  0.6688315 -0.3111334  1.730382 ],[ 1.7388622  2.634512   2.9678473 ... -0.649199  -2.6226501  3.0354033]
107, The wind was very gentle.,Color change occurred in the leaves.,"[ 3.5676763   0.46851718  0.71574706 ... -0.71307397 -0.25407013
 -1.0831926 ]","[-1.7236651  -0.20594753  1.2570592  ... -0.38805512 -3.6252196
  2.0839546 ]"
108,The ants marched in lines,The astronomer is studying the cosmos,"[ 3.5259643  -0.5264836  -0.10784303 ... -1.107886   -1.1121132
  0.01073742]","[-2.898991    2.315987    3.0886188  ...  0.35013384 -2.6947753
  1.078123  ]"
109,The room was decorated., The city had a very large population.,"[ 0.14998338 -4.941301   -0.47184792 ... -0.96345663 -1.6191667
  1.9254538 ]","[-1.5075476  -0.62729853  1.831741   ...  0.2853431  -2.1852477
  1.4837158 ]"
110,The impact was considerable.,Honey was made by the bee.,"[-0.5625121   5.107112    1.2236063  ...  0.25816712 -0.56501603
  0.5042633 ]",[ 1.620603   3.307792   1.1971548 ... -0.7011652  1.4736627 -1.3196876]
111,Debate was lively., The sky was exceptionally clear.,"[-0.525192   -2.6887312   0.18781984 ... -0.34722194 -1.8951445
  3.6579692 ]","[-0.30639377 -2.0003989   3.326477   ... -1.7641649  -3.997915
  0.79619867]"
112,It may be a difficult task.,The plane was flown by the pilot.,"[-2.9767776  -0.22614574  0.05171636 ...  0.05988565 -1.6328734
  2.1058815 ]","[-0.7523895   4.0957265   0.04390123 ... -0.09133348 -1.0029635
  3.269408  ]"
113, The solution is ineffective., The comment is irrelevant.,[2.3838573  5.272742   0.39290768 ... 0.19220963 0.6011752  0.66374123],"[-0.93861276  2.126411    2.365736   ... -1.0818193   2.9436088
  0.21637063]"
114,The rhino lunged angrily.,The air may have become still.,"[-0.99596065  4.0662374   0.62057006 ...  0.04500215 -1.0099859
  1.7829828 ]","[ 1.0144075   1.5288538  -0.26257867 ... -0.12989996 -4.739278
  0.66864425]"
115,The secret was kept.,The city had approximately 12 million residents.,"[ 1.6769991   5.093666    3.9205003  ...  1.3790352  -0.370109
  0.36040518]","[-3.1726367  -2.0432873   0.59533566 ...  0.8391266  -1.4775728
  2.3514504 ]"
116, Hot weather is forecast for this weekend.,The owls did not hoot softly in the night.,"[ 0.10410224 -1.1222785   2.3712974  ... -1.4346539  -1.1270528
  4.0914125 ]","[ 0.29493234 -0.785074   -1.1067718  ... -2.5897405   0.13084783
  2.4956532 ]"
117,The image was striking,They may need more time.,"[-2.778676    1.8514044  -0.20235682 ... -0.9103304  -2.3414211
  3.022725  ]","[-0.81129616  5.1647058   1.5450023  ... -0.16964287 -1.425086
  1.8836336 ]"
118,The professor assigned thought-provoking questions.,Jokes were told by the comedian.,"[-1.8890504  -0.03175974  0.1277206  ... -2.146606    0.3045119
  2.9640055 ]","[-1.5594735   1.7689248   0.13214195 ... -0.09266074  2.3092513
  3.5160046 ]"
119,The letter was typed by the secretary.,The weather was cold.,"[-0.8058984   4.4236617   1.7861404  ... -1.1651539  -0.55014145
  0.9218873 ]","[ 0.19919622 -1.1348888  -0.6008193  ... -2.2882948  -2.7430081
  2.352984  ]"
