,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
40,The stars twinkled in the night sky.,The night sky was twinkled in by the stars.,"[ 0.2690483  -1.290015   -0.44899285 ... -0.85112697 -2.3766615
 -0.26417825]",[-1.1019883 -1.7516087  1.3735275 ... -0.5966149 -1.573235  -1.3452381]
41,The moon illuminated the landscape.,The landscape was illuminated by the moon.,"[-0.14510715 -2.3197467   2.5662973  ... -1.2063773  -2.2471397
  1.599307  ]","[-1.4741176  -2.5985215   0.8093121  ...  0.07482624 -2.545067
  0.6983934 ]"
42,The river flowed to the sea.,The sea was flowed to by the river.,[ 1.7560418  3.4968944  1.8167084 ...  1.1316282 -1.6710341  1.4809768],[ 1.12994    3.1437387  1.8199964 ...  1.5525336 -0.984501   1.0405388]
43,The birds flew south for the winter.,The south was flown to by the birds for the winter.,[ 1.5090752  1.9021177 -1.3530517 ... -3.9921489  1.6187314  2.0504138],[-0.6123188  2.617776   1.2884221 ... -1.4366053  2.0065944  2.329039 ]
44,The leaves fell from the trees.,The trees were fallen from by the leaves.,[ 1.1431001 -1.497493  -1.4426657 ... -1.8640522 -2.6983974  0.2209421],"[-1.1274114   1.0802695  -0.36918858 ... -2.4811368  -0.68699336
  1.3632218 ]"
45,The flowers bloomed in the spring.,The spring was bloomed in by the flowers.,[ 1.3792331 -0.6495107 -0.7162795 ...  0.8288591 -2.6555161  2.3852327],"[ 0.9150055  -0.62504023  1.0145028  ...  0.5755012  -1.2098888
  0.59263575]"
46,The fruit ripened on the branches.,The branches were ripened on by the fruit.,"[ 0.30915007  2.0165613   3.8346004  ... -0.30795172 -0.2531069
 -1.849766  ]","[ 0.3136813   1.4843556   2.386025   ...  0.11251577 -1.7967579
 -0.12601447]"
47,The vegetables grew in the garden.,The garden was grown in by the vegetables.,"[ 0.7040609   2.9521925   1.3521832  ...  0.27024916 -2.6508098
  2.556263  ]","[-0.59323907  0.19353175  1.6096969  ... -0.985484   -0.7964027
  2.7686062 ]"
48,The farmer harvested the crops.,The crops were harvested by the farmer.,"[-0.9244642   2.6928005   2.056049   ...  0.02261096 -0.8178861
 -0.01391844]","[-1.7850915   3.7156062   2.015741   ... -0.30383793 -0.08069563
  1.4583699 ]"
49,The chef cooked the dinner.,The dinner was cooked by the chef.,"[-0.43986472  3.5356312   0.54311484 ...  0.0113283  -2.4990938
  2.8300483 ]",[-1.4013126  1.6181285  0.5750631 ...  1.2024117 -1.3586826  1.6597065]
50,The family ate the dinner.,The dinner was eaten by the family.,"[ 0.4783901  -2.8414047   0.9179845  ...  0.24274254 -0.85823846
  2.5179005 ]","[-0.9314586  -0.9792902   2.0154836  ...  0.78055495  0.7889107
  1.2414033 ]"
51,The children played in the park.,The park was played in by the children.,"[ 0.5078135  -0.22455747 -2.7907212  ... -3.485475   -1.7792004
  2.867029  ]","[ 1.1735126  -2.3349144   0.20254454 ... -1.3910636  -0.83839864
  2.3751602 ]"
52,The dog fetched the ball.,The ball was fetched by the dog.,"[ 4.099336    7.358869   -1.5354185  ... -1.5237025   0.91698486
  3.3093607 ]","[ 0.6771764   6.246295    0.31425035 ... -1.0082396   0.95384216
  2.0836985 ]"
53,The cat sat on the mat.,The mat was sat on by the cat.,"[ 4.871701    1.7367922   1.7100245  ... -0.04479187 -2.9222147
  4.5027804 ]","[ 0.3036132  -1.1808825   2.1719992  ...  0.51965773 -1.1162908
  3.983914  ]"
54,The bird built a nest.,A nest was built by the bird.,"[ 4.760575    2.3567247   2.7543972  ... -3.603305    0.10504389
  1.8223258 ]","[ 2.4917395e+00  6.8973887e-01  3.2615008e+00 ... -3.4871104e+00
 -1.8403679e-03  2.4406998e+00]"
55,The bee made honey.,Honey was made by the bee.,"[ 2.5012016   3.8655815   2.2293382  ... -0.54820204  0.9117649
  0.83835685]",[ 1.620603   3.307792   1.1971548 ... -0.7011652  1.4736627 -1.3196876]
56,The spider spun a web.,A web was spun by the spider.,"[ 4.8887973   1.875728    0.96689624 ...  0.53727776 -3.2263405
  2.313791  ]","[ 1.8792157   1.7113419   0.89571565 ...  0.04903735 -3.3796256
  1.3069446 ]"
57,The ant carried a crumb.,A crumb was carried by the ant.,"[ 3.823031    3.5348792   1.92013    ... -1.0653646   2.5400054
 -0.45791715]","[ 1.8968819   2.13924     2.8248     ... -0.4295862   1.101014
  0.23486646]"
58,The worm ate a leaf.,A leaf was eaten by the worm.,"[ 2.386953    1.9593042   2.8382385  ... -0.11295355  0.29916862
  2.9748297 ]","[ 1.6654603   1.9357963   1.418921   ... -0.98099315 -1.6384683
  2.038822  ]"
59,The fish swam in the lake.,The lake was swum in by the fish.,"[-0.4135788   1.7408235   0.02717933 ...  1.0064223  -2.3747416
  2.9915185 ]","[-1.7337735   0.85727626  0.55487263 ...  0.7151838   0.05888388
  3.5216782 ]"
60,The frog leaped into the pond.,The pond was leaped into by the frog.,[ 1.1597297  4.2272067  1.2055445 ...  0.3829531 -2.874362   6.172858 ],"[-1.158256    0.9959396  -0.80975324 ...  0.8776447  -2.3851376
  5.070521  ]"
61,The turtle crawled across the ground.,The ground was crawled across by the turtle.,"[ 1.1806966   1.6581461   1.7229353  ... -0.23567833 -0.511027
  3.6254554 ]","[ 0.32380253  1.216643    2.9261312  ... -1.1472259  -0.27124134
  4.0085883 ]"
62,The snake slithered through the grass.,The grass was slithered through by the snake.,"[ 1.1311841   0.55885136  2.1163595  ...  0.33660734 -1.2528027
  2.5287116 ]","[ 1.2098486   0.10126875  2.2751315  ... -0.8365196  -3.6580346
  3.6288054 ]"
63,The lizard sunned itself on a rock.,A rock was sunned on by the lizard.,[-1.1343253  0.7592321  2.4887424 ...  0.9365974 -0.4426594  3.2956777],"[-1.8705132   4.057029    2.4887967  ...  0.869769    0.14400299
  3.2543159 ]"
64,The mouse scurried into its hole.,Its hole was scurried into by the mouse.,[ 3.1998627  2.8689451  1.1661816 ... -1.2617506  0.9870638  1.6158746],"[ 0.75310117  1.2861481   0.5164242  ... -0.10719251  0.40284842
  1.2567226 ]"
65,The rat gnawed on the cheese.,The cheese was gnawed on by the rat.,"[ 3.4568477   2.754903    2.352064   ... -1.5441986  -0.78281474
 -0.4059513 ]","[ 1.4576619   1.545243    3.870869   ... -2.0767965  -0.49729317
 -0.56714535]"
66,The owl hunted for mice.,Mice were hunted for by the owl.,[ 2.5958507  4.14489    1.7906371 ... -4.049635   1.3041956  1.128446 ],"[ 0.11115515  4.822593    0.71079767 ... -2.8463442   1.3496261
  1.952064  ]"
67,The fox chased the rabbit.,The rabbit was chased by the fox.,"[ 3.8248217   2.7395477  -0.9731088  ... -2.4972885  -0.89660496
  3.5717278 ]","[ 2.6413798   3.1195898  -0.25887477 ... -2.5226097  -1.6835068
  3.1172266 ]"
68,The wolf howled at the moon.,The moon was howled at by the wolf.,"[ 0.1631451   3.0797257  -1.4994329  ... -1.4040362   0.24231774
  2.1711206 ]","[-1.1118176   1.1262968  -0.35091257 ... -1.540158   -0.85830915
  1.6524242 ]"
69,The bear hibernated in its cave.,Its cave was hibernated in by the bear.,[ 1.2110023  2.269912  -1.0235815 ... -0.9934397  4.4922175  2.3038073],"[ 0.30034697  1.519783   -0.7954511  ...  0.5218928   2.8039958
  1.079077  ]"
70,The lion roared in the jungle.,The jungle was roared in by the lion.,"[-0.7926779   5.9460325  -1.2409776  ...  1.168718    0.46934843
  2.9669695 ]","[-2.2915492   3.9398963  -0.48277387 ...  0.4514819   1.7367122
  2.3374238 ]"
71,The tiger stalked its prey.,Its prey was stalked by the tiger.,"[ 0.9363524   1.3952043   1.7275194  ...  0.51275456 -1.3522328
  2.8822484 ]","[-0.97461236  2.4948397   1.5369084  ... -0.26386344  0.0901626
  2.2830985 ]"
72,The elephant trumpeted loudly.,Loudly was trumpeted by the elephant.,"[-0.42152724  3.8341887   0.61792016 ... -1.2428845   0.83282614
  2.597448  ]","[-1.36745     2.4189937   0.22385053 ...  0.70451605  0.50657684
  1.8753729 ]"
73,The giraffe reached for the leaves.,The leaves were reached for by the giraffe.,"[ 1.3084507   3.0284421   2.4976912  ...  0.27296805 -1.1888837
  0.79836684]","[ 0.7196037  -0.00682628  1.1412032  ... -0.02925877 -1.4749731
  0.74164754]"
74,The zebra ran across the savanna.,The savanna was run across by the zebra.,"[-4.4956556e-01  2.5920095e+00  1.4798177e+00 ...  1.4109082e-03
 -2.6415279e+00  4.6433277e+00]","[-0.52375835  1.2347322   2.3613138  ... -0.72125643 -0.18703395
  3.4814775 ]"
75,The monkey swung from the trees.,The trees were swung from by the monkey.,"[ 2.4063087   2.5310276   1.4562224  ... -0.40975508  0.9033639
  0.74535894]","[-1.0481449   2.254344    1.1048981  ... -0.57800716  0.51483935
  0.9341295 ]"
76,The parrot squawked loudly.,Loudly was squawked by the parrot.,"[-0.9304202   2.1812022   2.1354098  ... -0.28957987  0.01227242
  2.448091  ]",[-1.8343767  1.7753521  1.0257851 ...  0.1174862 -0.6602053  1.8252869]
77,The penguin waddled on the ice.,The ice was waddled on by the penguin.,"[-9.8760319e-01 -6.7345899e-01 -1.0799170e-03 ... -7.4803787e-01
  9.3675900e-01  1.2857703e+00]","[ 0.04620606  0.05814746  0.7205794  ... -1.0070633   0.6533126
  0.5566512 ]"
78,The whale swam in the ocean.,The ocean was swum in by the whale.,"[-0.9144154   1.5257995   2.4273558  ...  0.35548854 -1.7250243
  1.0448254 ]",[-2.1695268  3.337071   1.9701436 ...  1.2053082 -0.6200217  2.0125556]
79,The dolphin leaped out of the water.,The water was leaped out of by the dolphin.,"[-0.40125847  6.2588463   1.0523361  ... -0.15570039 -2.3214421
  4.205506  ]","[-1.4348706   4.1226344   1.3170578  ...  0.21541409 -1.7997197
  3.4313593 ]"
80,The shark hunted for fish.,Fish were hunted for by the shark.,[ 1.0766082  4.5589657  3.8422706 ... -0.7412146  0.060651   1.4135246],"[-1.9718633   4.0152845   1.7155085  ... -0.79491395  2.6512191
  3.1743855 ]"
81,The octopus hid in its den.,Its den was hidden in by the octopus.,[1.1740917  1.6627729  3.8557315  ... 0.16619107 0.1289861  0.9125992 ],[0.38687056 0.307989   1.719038   ... 0.8889297  0.9382533  0.8908392 ]
82,The crab scuttled across the beach.,The beach was scuttled across by the crab.,[0.76447004 1.2019819  3.2142165  ... 0.47729874 0.6489633  2.3997042 ],"[ 0.2576977  -0.05302568  2.839845   ...  0.75433594  1.1752417
  1.267429  ]"
83,The starfish clung to a rock.,A rock was clung to by the starfish.,[ 2.263656   1.9858462  3.5199845 ...  2.6251297 -1.0658728  0.6428063],[0.9700432 4.2127476 2.7370248 ... 1.4052373 0.3180405 1.0854411]
84,The seagull flew over the water.,The water was flown over by the seagull.,[ 1.6777625  3.303276   4.077969  ... -1.000683  -0.4447638  1.923614 ],"[ 0.17811348  4.759309    1.463127   ... -0.56238    -2.095391
  1.7987629 ]"
85,The eagle soared through the sky.,The sky was soared through by the eagle.,[ 1.7373472  5.609652   2.0965981 ... -0.8932389 -3.3528347  2.7426991],"[-0.97890496  0.89762497  3.754776   ... -0.44953462 -2.9986331
  1.1946195 ]"
86,The hawk hunted for rabbits.,Rabbits were hunted for by the hawk.,[ 3.420368   6.0513864  1.3363467 ... -3.67531   -0.5112302  1.8636795],"[ 1.291305    3.7049046   0.69889605 ... -3.3311114   1.0581504
  3.7380347 ]"
87,The owl perched on a branch.,A branch was perched on by the owl.,"[ 0.5778595   1.828588    2.2843764  ... -1.5099803   0.09800598
  2.502953  ]","[-0.6079872   0.30319914  1.9176763  ...  1.0685322  -0.8390668
  1.2587004 ]"
88,The woodpecker pecked at a tree.,A tree was pecked at by the woodpecker.,"[ 0.6811915   1.5833424   0.41095015 ... -0.41483983  1.6062046
 -0.22167353]","[-0.9326721   1.645798    0.39587232 ... -2.4805386   0.5383749
  0.85087514]"
89,The hummingbird hovered near a flower.,A flower was hovered near by the hummingbird.,"[ 2.109776    1.419581    0.44530293 ... -0.8934653  -1.8695514
  1.1442144 ]","[ 1.1664433   2.0036108   0.10914847 ... -1.1033385  -0.18610536
  2.642012  ]"
90,The butterfly fluttered around the flowers.,The flowers were fluttered around by the butterfly.,"[ 1.5973277  -0.45297462 -0.35387534 ...  0.5262115  -1.8541849
  2.512471  ]","[ 3.1794448   1.1235563  -1.0665063  ... -0.68996084 -1.3698522
  1.3177115 ]"
91,The ant crawled on the ground.,The ground was crawled on by the ant.,"[ 5.435805    2.6271622   2.3451278  ... -0.94828254 -0.64466757
  1.4830672 ]",[ 0.9118241  1.0858169  2.6952887 ... -1.4296465 -0.7694954  3.107665 ]
92,The grasshopper hopped in the grass.,The grass was hopped in by the grasshopper.,"[ 3.5461876   0.94699144  1.7172257  ... -0.6841732  -1.0109078
  3.4585145 ]",[ 2.8152657 -0.7077673  1.807764  ... -0.2810904 -2.6645248  4.0453715]
93,The beetle flew to the light.,The light was flown to by the beetle.,[1.4006898  4.232703   0.90687263 ... 0.01792856 0.96104443 2.9248497 ],"[-1.4505277   3.635106    1.8280972  ... -0.07994833 -0.47019905
  2.338664  ]"
94,The spider spun a web in the corner.,The corner was spun a web in by the spider.,"[ 4.314604    0.10143729  0.74700916 ...  0.6510762  -1.6998754
  1.8287133 ]","[ 1.1670631  -2.1461678   0.43301648 ...  1.011445   -1.5230927
  1.8433639 ]"
95,The cat slept on the windowsill.,The windowsill was slept on by the cat.,"[ 5.2673616   1.5446112   0.99110484 ... -0.73907787 -0.90620446
  4.2320337 ]","[ 1.4233134  -2.8750858   2.7608104  ...  0.4331686   0.33333316
  1.1419965 ]"
96,The dog barked at the mailman.,The mailman was barked at by the dog.,"[ 0.3600328   4.4051924  -0.05539939 ... -3.301301    0.0883702
  2.3846583 ]","[-0.13589959  5.376587    0.05582623 ... -2.035499    1.0115722
  1.2177485 ]"
97,The librarian shelved the books.,The books were shelved by the librarian.,[ 0.8430473 -0.7398067  1.9674761 ...  1.7975036  1.0870541  2.7770712],[-2.44283   -2.640739   1.653837  ...  1.1377667  1.5915421  2.9595013]
98,The student read the book.,The book was read by the student.,"[ 0.21824169  1.9307742   0.2195797  ... -0.84218186 -0.06939737
  5.027942  ]","[-2.845738    1.9182136   2.765199   ... -0.13291287  0.7030023
  4.4428387 ]"
99,The artist sketched the landscape.,The landscape was sketched by the artist.,"[-1.2479354  -2.286077   -0.12307811 ... -0.6682869   0.17453973
  1.9745439 ]","[-2.8336995  -2.3803086   0.94302547 ... -0.8060647   0.1617186
  1.4353491 ]"
100,The musician composed a melody.,A melody was composed by the musician.,"[ 0.96850973  3.758301    1.2907323  ... -2.812135    1.1342591
  1.1837239 ]","[-0.78565687  2.6559849   1.5786544  ... -0.8680989   0.95344424
  0.18746561]"
101,The playwright wrote a play.,A play was written by the playwright.,"[ 0.44227132  2.7975929   0.48473755 ... -2.3006215   0.41293398
  1.381497  ]","[-1.4707037   1.8824818   0.24786165 ... -1.5814565  -1.305733
  0.6259141 ]"
102,The director filmed the movie.,The movie was filmed by the director.,"[ 1.0631224   1.5535263   1.678275   ... -0.5055397   0.38903847
  4.3768196 ]","[-0.8463281   1.0070212   0.78302515 ...  0.78430516  0.22067678
  2.9251108 ]"
103,The editor revised the manuscript.,The manuscript was revised by the editor.,"[ 1.4891189   0.7907842  -0.38271996 ... -1.1246548   0.8338291
  2.9341564 ]","[-0.9967986   0.59856504 -0.7737687  ... -0.9155706   2.2240849
  2.0696254 ]"
104,The printer printed the document.,The document was printed by the printer.,"[-0.69658035  2.5192516   1.2950362  ... -1.0102731  -1.9238778
  3.1700392 ]","[-2.5253253   1.9737124  -0.47895202 ... -0.87027717 -1.7809254
  2.1545694 ]"
105,The photographer took the picture.,The picture was taken by the photographer.,"[-2.1979735   0.5269734   0.19244213 ...  0.13471673  0.49464643
  2.3126113 ]","[-3.5031872  -1.105844    0.41391122 ...  0.34549958 -0.7187202
  2.353424  ]"
106,The sculptor carved the statue.,The statue was carved by the sculptor.,[-3.0245566  1.5984014  1.3801823 ... -2.462937   2.7886608  2.3549862],[-4.79793    2.4713864  1.2730113 ... -2.3025632  3.803366   2.5643067]
107,The potter shaped the clay.,The clay was shaped by the potter.,"[ 0.83308303  3.3201787   2.8605218  ... -1.5308774  -0.74146473
  2.020263  ]","[-0.36955962  2.6071541   2.0800524  ... -2.3450596  -0.9405008
  1.2147806 ]"
108,The weaver wove the tapestry.,The tapestry was woven by the weaver.,"[ 2.7854416   0.465136    1.771874   ...  0.16501743 -0.4098074
  0.16060649]","[ 0.58282936  0.05353115  2.5859838  ... -0.44506797 -0.374276
  0.99604666]"
109,The tailor sewed the garment.,The garment was sewed by the tailor.,"[ 2.5418522   2.4282684   1.7277985  ... -1.1491452   0.71179146
  0.42329803]",[ 1.0716587  1.7940644  1.2352022 ... -1.3130627  1.350657   0.5463035]
110,The chef seasoned the dish.,The dish was seasoned by the chef.,[-0.064617   5.1912804  3.5870154 ...  0.9109721 -2.1241944  1.7104481],[-1.9596667  3.0812852  3.2002535 ...  1.5376538 -2.7270234  2.6735082]
111,The baker frosted the cake.,The cake was frosted by the baker.,"[ 0.35433653  0.6411002   1.7918952  ... -4.1393948  -0.16027032
  1.4406518 ]",[ 1.1971673 -0.1882784  1.7498931 ... -2.8334079 -0.072466   2.9049666]
112,The waiter served the meal.,The meal was served by the waiter.,"[ 2.092779    3.6771443   3.7059078  ... -0.06000897  1.3112231
  1.947374  ]","[-1.4876844   0.908798    2.3608932  ... -0.17761175 -1.107778
  1.1907    ]"
113,The customer ordered the food.,The food was ordered by the customer.,[0.25311184 2.9114513  2.518646   ... 0.54928064 0.35407254 3.6705596 ],[-0.8798744  2.9717338  1.8864565 ...  1.1903676 -1.1939092  2.9069192]
114,The cashier processed the transaction.,The transaction was processed by the cashier.,"[ 1.0263313   6.0724225   2.1666486  ... -0.26466504  2.328366
  2.1959875 ]","[ 0.18364292  4.1520705   1.4679887  ... -0.94192195  0.7450081
  2.7332258 ]"
115,The salesperson sold the product.,The product was sold by the salesperson.,"[ 0.47756338  2.2536776   3.7161539  ... -1.2829562  -0.16716883
  1.8542576 ]","[-0.50703526  2.4182045   2.55874    ... -0.43691042  1.2817168
  1.5765386 ]"
116,The manager hired the employee.,The employee was hired by the manager.,[ 3.59703    4.068314   1.1793002 ... -0.662471   1.2025375  3.8670032],"[ 3.5959835   3.422824    1.9622252  ... -2.237747    0.30865085
  2.1453972 ]"
117,The boss fired the worker.,The worker was fired by the boss.,"[ 3.0696862   5.878226    1.4850775  ... -2.619816    0.35466465
  3.1342857 ]","[ 3.645025    5.1435738   1.5471652  ... -2.7492335   0.44992167
  1.6626751 ]"
