,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
23,The story is captivating., The story is utterly captivating.,"[-1.1579547   0.14709885  1.8267944  ...  0.36682802 -1.1493437
  3.0924401 ]","[-2.0920115   1.3138498   1.06679    ...  0.28894478  0.6173053
  1.3423643 ]"
24,The painting is vibrant., The painting is extraordinarily vibrant.,"[-1.2152091  -1.2994392   2.9526393  ... -0.71366763 -3.0729115
  2.868052  ]",[-1.482989  -0.6343156  2.5465305 ... -1.2418143 -2.5132275  2.422466 ]
25,The presentation was effective., The presentation was highly effective.,[-0.6691699  1.204476   0.5325845 ... -1.8912252  0.7988026  1.8997433],"[-1.148458    1.7512798   0.34375152 ... -2.2791278   1.1553735
  1.9375004 ]"
26,The solution is simple., The solution is remarkably simple.,[1.5826871  4.894435   0.24206305 ... 0.66298854 0.5020467  1.3021977 ],"[ 2.3080025   3.2293434  -0.2855167  ...  0.12721682 -0.0651029
  0.9464219 ]"
27,The performance was impressive., The performance was truly awe-inspiring.,"[-0.4372527   0.7201681   0.13082524 ... -1.4719517  -1.6155338
  1.822387  ]","[-2.267183    1.4305657  -0.13115835 ... -1.7823364   0.10559887
  0.60677075]"
28,The concert was memorable., The concert was unforgettable.,"[-0.13156219 -1.210146    0.22357897 ... -0.5989636  -1.5248288
  1.2719125 ]","[-0.55027837  0.28332987  1.1990736  ... -0.7411519  -0.3877663
  1.4791877 ]"
29,The view was breathtaking., The view was absolutely breathtaking.,"[-0.91116846 -2.1917367   2.1939654  ...  0.41842207 -0.6560563
  2.154283  ]","[-1.509606   -0.8281737   1.53962    ...  0.7139527   0.76365167
  1.4355946 ]"
30,The results are promising., The results are extremely promising.,"[ 1.4641126   2.0756838   1.0750952  ... -0.71670043 -1.3671658
  3.0388942 ]","[ 2.3150485   2.6934283   0.25168607 ... -1.031849    0.31979313
  2.7413788 ]"
31,The project is challenging., The project is incredibly challenging.,"[-1.3671421  -0.15733603  1.2262149  ... -0.26543018 -2.5663
  1.8101425 ]","[-1.687624    0.7689697   0.6478528  ... -0.00418365 -2.1588871
  1.746427  ]"
32,The decision was difficult., The decision was exceptionally difficult.,"[-1.2386141   3.4025414   0.88296145 ...  0.0076051   1.2736553
  4.0846124 ]","[-1.4262911   3.9699986  -0.21593241 ... -0.45805934  1.9797101
  3.5572422 ]"
33,The article is informative., The article is highly informative.,"[-0.31130618  1.9423192   1.4381737  ... -3.1443837   1.8098854
  1.3657663 ]",[-0.8229878  2.7240884  1.007181  ... -3.128937   2.2792962  1.5044122]
34,The evidence is conclusive., The evidence is undeniably conclusive.,"[ 0.7500436   4.093557   -0.25873303 ... -0.07283164  2.6976504
  4.2880554 ]","[-0.6677102   3.8440213  -1.2728645  ... -0.49060294  1.9595718
  3.779414  ]"
35,The argument is persuasive., The argument is overwhelmingly persuasive.,"[ 0.59011114  2.928972    1.6262944  ... -2.1601768   2.3008566
  3.2821152 ]","[-0.33150387  4.7452526   0.9700298  ... -1.1498734   2.9970338
  2.8916676 ]"
36,The explanation is clear., The explanation is perfectly clear.,[ 0.9459115  2.277553   0.8889903 ... -1.0894535 -0.3056027  2.3204222],"[ 0.00570994  2.3853076  -0.24941969 ... -0.29655978  0.21379536
  2.5045776 ]"
37,The instructions are simple., The instructions are remarkably straightforward.,"[ 0.55973226  3.6485343  -0.5308118  ... -0.47145146  0.31426457
  3.3048794 ]","[ 0.25662854  1.2341261  -0.4189709  ... -1.4582835   0.54219294
  2.9807947 ]"
38,The recipe is easy to follow., The recipe is surprisingly easy to follow.,"[ 2.50503     3.1487687   0.4439504  ... -0.33008337  0.25853333
  3.8282635 ]",[ 2.2563088  1.7932417  0.4386743 ... -1.130144   0.8508768  3.8363428]
39,The instructions are easy to understand., The instructions are remarkably easy to understand.,"[ 0.9221902   4.452536    0.7374126  ... -0.79180735  1.190017
  3.264623  ]","[ 0.36331025  2.7121725   0.41157228 ... -1.5252044   1.7549745
  2.65611   ]"
40,The book is well-written., The book is exceptionally well-written.,"[-0.45803264 -0.7105551   2.1485207  ... -1.1044625   2.4145887
  2.9394982 ]",[-1.4387993 -0.2443754  1.5209081 ... -1.6108541  2.452184   3.17276  ]
41,The film is suspenseful., The film is incredibly suspenseful.,"[-1.6100591   0.41865215  1.1412264  ...  1.0493737  -0.9455237
  3.2144315 ]","[-1.5188745   1.0390947   0.6996053  ...  0.2494971  -0.28846708
  2.7646174 ]"
42,The play is moving., The play is deeply moving.,"[ 0.7057455  -0.49022722  2.4767377  ... -0.27154058 -0.7768483
  0.58897287]","[-0.4758928   1.7779669   1.8814654  ... -0.6622662  -1.2855159
  0.32186523]"
43,The music is calming., The music is incredibly soothing.,"[ 1.0708354   2.7402742   0.5399565  ... -0.49474674  0.9320057
  0.46557045]","[-0.45735273  2.1155207   0.6241337  ... -1.0565296   1.8269897
  0.380133  ]"
44,The food is spicy., The food is extremely spicy.,[-1.0632905  4.4076204  2.9572902 ...  1.8833687 -2.6232657  4.244834 ],[-0.6326015  4.177901   2.594088  ...  1.7045679 -1.2414328  2.4889326]
45,The tea is hot., The tea is scalding hot.,[-1.4089404  4.6287766  4.987096  ... -1.0394722 -1.4339144  5.383948 ],[-2.5352914  4.3111696  4.273243  ... -2.0453508 -1.5935682  5.1597533]
46,The sun is bright., The sun is blindingly bright.,[-0.5282302  4.384719   3.5853324 ...  1.5899222 -4.9545937  2.1903658],"[-2.6123517   5.045255    1.5707605  ...  0.90862817 -3.7476985
  0.8870773 ]"
47,The wind is strong., The wind is fiercely strong.,[ 1.2214096  3.7252579  2.2198315 ... -0.7275811 -1.1960952 -0.364415 ],"[ 0.507653    3.560419    0.9842667  ...  0.1160455  -1.4398923
 -0.53120166]"
48,The rain is heavy., The rain is torrential.,"[ 0.59208363  2.7806509   3.2801347  ...  0.05723773 -3.9172776
 -0.34755856]","[ 0.3830757   1.2247638   2.375416   ... -0.5210548  -4.535877
  0.43673587]"
49,The snow is deep., The snow is incredibly deep.,"[ 0.12643811 -0.17497143 -1.2142975  ... -2.9876297  -0.6310398
  0.6131239 ]","[-0.47528896 -0.66944677 -1.1591204  ... -2.8826535  -0.29651514
  0.49667916]"
50,The ice is slippery., The ice is dangerously slippery.,[ 1.5155379  2.577717   3.09069   ... -3.2239425 -0.7875512  1.7244313],"[ 1.4259075   3.361655    2.9323127  ... -2.8942344  -0.67628145
  1.6623367 ]"
51,The road is icy., The road is extremely icy.,"[-0.41147596  1.5288109   2.204043   ... -1.1403944  -1.8886395
  2.2258701 ]",[-0.7283244  1.137235   1.8579363 ... -0.6350855 -1.6793389  2.082267 ]
52,The path is muddy., The path is incredibly muddy.,"[ 0.02495931  0.81556684  2.3474345  ...  0.11765222 -2.6171148
  2.4629064 ]","[-0.26508018  0.88343173  0.84215164 ...  0.434431   -0.7498226
  1.3211141 ]"
53,The trail is steep., The trail is extremely steep.,"[ 1.5407187  -1.8402328   4.6360803  ... -0.72749484 -1.7796516
  3.8904643 ]","[ 1.869182   -1.5531397   4.1645045  ... -0.7068921  -0.57496214
  3.9994879 ]"
54,The climb is challenging., The climb is incredibly arduous.,"[ 0.5312403  -0.15928292  3.1180356  ...  0.77274406 -1.17766
  2.665197  ]","[ 1.0181737  -0.00376749  3.1658154  ... -0.16891402 -0.05759561
  1.677181  ]"
55,The hike is long., The hike is excessively long.,"[ 1.5636469  -3.6603932   2.4606075  ...  1.8514427  -0.21685794
  3.4656036 ]",[ 2.5753045 -0.8052189  2.8065097 ...  1.9221225  1.7202209  4.200114 ]
56,The walk is pleasant., The walk is delightfully pleasant.,"[ 3.0808835  -4.437059    1.5217912  ...  0.8038076  -0.19983812
  2.706188  ]","[ 1.7363892  -4.079129    0.9113241  ...  0.89062417  0.7674156
  1.5694369 ]"
57,The scenery is beautiful., The scenery is breathtakingly beautiful.,"[-0.73480594 -3.0114586   1.5402849  ... -0.81615895 -0.38318533
  2.1192298 ]","[-1.249982   -2.2678719   1.3783041  ... -1.1165512   0.66754216
  1.5600502 ]"
58,The view is stunning., The view is absolutely stunning.,[-1.2112651 -2.433323   2.4264393 ...  1.23334   -1.3394464  3.2047153],"[-2.1423924  -0.86688733  0.95450395 ...  1.3335123   0.11247742
  2.2072275 ]"
59,The sunset is gorgeous., The sunset is incredibly gorgeous.,"[-1.1075543  -0.40656105  3.4580483  ...  1.7448657  -2.5025861
  3.1308904 ]",[-1.2533232 -0.7042611  3.1389618 ...  2.2570722 -1.8377423  2.6917388]
60,The sunrise is spectacular., The sunrise is truly spectacular.,"[-1.0873585  -0.01173704  2.7624967  ...  1.342105   -2.5149357
  3.091515  ]",[-1.4542356  0.7166702  2.4643633 ...  1.2763238 -1.6834383  2.8142424]
61,The night is dark., The night is pitch black.,"[-0.7675549  -0.531018    2.1416466  ...  0.04086213 -2.1704965
 -0.3289333 ]",[-1.3121767 -1.1757435  1.4890944 ...  0.3824781 -2.193654  -1.7155608]
62,The day is sunny., The day is gloriously sunny.,"[ 0.71469    -0.8543533   2.4597766  ...  0.33569133 -1.4392172
  1.5997165 ]","[ 0.93584716 -1.0537764   1.8694627  ...  0.44639263 -0.8928517
  1.4297279 ]"
63,The weather is perfect., The weather is absolutely perfect.,"[ 2.1358275  -0.21300355  1.2827548  ... -1.733238   -1.0331225
  2.8687358 ]","[ 1.0230638   1.3383399   0.878514   ... -1.3284602   0.04405463
  2.145268  ]"
64,The air is fresh., The air is wonderfully fresh.,[ 2.8353066  3.0864463  2.135924  ... -0.3106906 -4.146624   1.3518871],"[ 3.1191409   3.711509    2.0669625  ... -0.08627919 -3.5960867
  0.4118894 ]"
65,The water is clear., The water is crystal clear.,"[ 1.197258    2.6393409   2.6631675  ... -0.84371436 -4.4004383
  2.5751426 ]",[ 0.596766   2.3753483  1.4852494 ... -0.5563705 -4.24066    2.0931222]
66,The beach is sandy., The beach is beautifully sandy.,"[ 2.2171717   0.6002709   4.4177246  ... -0.07025361 -0.97782785
  2.8059878 ]","[ 1.8583646  -1.012303    3.0930827  ... -0.18589956 -1.1272969
  2.8197262 ]"
67,The ocean is vast., The ocean is immensely vast.,"[-1.2728751   4.729409    5.0096054  ...  0.17567413 -2.912122
 -0.76726115]","[-1.5009202   4.4247503   4.5604362  ...  0.15632105 -3.2534475
 -1.2850868 ]"
68,The sky is blue., The sky is a brilliant blue.,"[ 0.20177583  0.88257074  3.4854786  ... -0.45430952 -4.9222727
  1.3614824 ]","[ 0.07426618 -0.19832084  3.6385548  ... -2.1099284  -5.0681076
  0.09746512]"
69,The clouds are fluffy., The clouds are incredibly fluffy.,"[ 1.9674425   0.13421687  0.6872732  ... -1.1743685  -4.348628
  1.1048188 ]","[ 1.174903   -0.3282697   0.8777674  ... -1.0471525  -3.9360914
  0.48263785]"
70,The trees are tall., The trees are impressively tall.,"[-0.79724205  1.2393837   0.35175014 ... -1.4158674  -4.706196
  1.284655  ]","[-2.210554   -0.20560786 -0.34343678 ... -1.8683513  -2.746898
  1.2071649 ]"
71,The forest is dense., The forest is incredibly dense.,"[ 0.12452469 -0.77470976  2.3537793  ... -1.1589665  -0.4681471
  1.645951  ]","[-0.27687505 -0.84922504  1.5689255  ... -0.85920626  0.21148933
  1.0041014 ]"
72,The mountains are majestic., The mountains are truly majestic.,"[-0.45864028  1.1373366   0.2972594  ... -0.65089214 -0.91817635
  2.064169  ]",[-1.341719   1.2751789  1.0586334 ... -0.8333381 -0.4238576  1.833004 ]
73,The landscape is dramatic., The landscape is incredibly dramatic.,[-1.071646  -3.5994267  2.3757746 ... -0.8801152 -0.7702338  1.536269 ],"[-1.2838117  -3.522618    2.2158823  ... -0.6122077  -0.07354625
  1.0323354 ]"
74,The flowers are fragrant., The flowers are incredibly fragrant.,"[ 2.7819192   5.2088656  -0.9861092  ...  0.08808583 -4.256329
  0.5542224 ]","[ 1.4547241   3.3984618  -1.4344714  ...  0.4334614  -3.6257875
  0.88924825]"
75,The birds are singing., The birds are singing beautifully.,"[ 0.9970524   3.178748    0.21231589 ... -2.0535789  -2.1826713
  1.2867409 ]","[-0.18883455  3.0077074  -0.67721313 ... -3.0042884  -2.566699
  1.2953918 ]"
76,The animals are playful., The animals are incredibly playful.,"[ 0.97704935  2.082335    1.7217181  ... -2.3932233  -1.3743465
  2.3751807 ]","[-0.09892702  1.2207662   1.1429434  ... -3.0732458  -1.2194552
  2.4248245 ]"
77,The children are happy., The children are overjoyed.,"[ 0.47979802  1.6618736   3.0652893  ... -0.9583851  -4.5093584
  2.601099  ]","[-0.04374943  0.7129868   2.459267   ... -2.7657754  -1.9179819
  4.3020835 ]"
78,The family is loving., The family is incredibly loving.,"[ 1.1939583  -1.3414972   0.87128943 ... -0.03374992 -1.2514737
  1.824817  ]",[ 1.8437448  1.0322102  1.1765774 ... -0.6958036 -1.5278378  1.8684181]
79,The friends are close., The friends are incredibly close.,"[ 4.4881086  -0.8824482   2.305695   ... -2.0797334   0.45762855
  1.7776899 ]","[ 4.6125374  -0.3394618   2.5649354  ... -2.215205    0.02781332
  2.4459646 ]"
80,The community is strong., The community is exceptionally strong.,"[ 1.988588    0.78872025  3.1553106  ... -1.2053009  -3.3257394
  2.078654  ]",[ 2.3016927  1.216602   3.0323994 ... -0.9375871 -2.8480883  2.1450603]
81,The town is quiet., The town is remarkably quiet.,"[ 2.1395447  -3.2706249   1.7982038  ...  0.30886683 -1.8866898
  2.6448827 ]","[ 1.228237   -4.113958    1.2328053  ... -0.38829926 -1.133032
  2.8422725 ]"
82,The city is bustling., The city is incredibly bustling.,[-1.7380722 -2.542832   2.038175  ...  0.624153  -2.1537082  1.4987032],"[-0.909031   -3.0618265   1.8342234  ...  0.47217163 -1.4650818
  1.5666829 ]"
83,The country is peaceful., The country is wonderfully peaceful.,[ 1.3359861  2.1589358  2.2856746 ... -1.1627176  1.8172581  3.02984  ],[ 1.4790378  1.7292484  2.325688  ... -1.1066216  1.9705948  2.8805075]
84,The world is diverse., The world is incredibly diverse.,"[-2.6996017   0.47132808  4.4325404  ... -0.6809775  -2.2327073
  2.7950854 ]",[-2.5989249  1.3185939  3.847172  ... -0.5628821 -1.4826673  1.9923624]
85,The cake is moist., The cake is incredibly moist.,"[ 0.97990686  2.4395201   2.9046626  ... -0.83912957 -0.61741775
  2.7368405 ]","[-0.20257993  1.9236478   1.1323835  ... -0.8451066   0.15449458
  2.44791   ]"
86,The music is relaxing., The music is very relaxing.,"[ 0.9007616   3.5969346   1.6052586  ... -0.99516046  1.6157162
  0.8638584 ]","[ 0.25180155  2.8848124   0.8951543  ... -1.4966794   1.220583
  0.44684505]"
87,He is a skilled artist., He is an extremely skilled artist.,"[ 1.0732261   6.703097    0.6377294  ... -0.06197407 -1.3388125
  4.6832027 ]","[ 1.0006014   7.0733266   0.05863422 ... -0.21741284 -1.3551085
  4.6142592 ]"
88,The book is complex., The book is slightly complex.,"[-1.9515454  -1.2109063   3.4743512  ... -0.49945742  0.31116456
  3.4766564 ]","[-1.6018027  -2.4420626   2.7630308  ...  0.24070482 -0.54418087
  2.2596252 ]"
89,She is a talented writer., She is a very talented writer.,"[ 0.07228124  5.6800513   2.1585858  ... -0.14054783 -4.1145005
  5.2611346 ]","[ 0.7482535   5.6930475   1.6099757  ... -0.07763755 -4.0850616
  5.0474906 ]"
90,The soup is flavorful., The soup is incredibly flavorful.,"[-0.52832     2.2690024   3.3773239  ...  0.56155825 -4.7792125
  3.0765822 ]","[-0.562473    2.592198    2.3717036  ...  0.51603216 -2.8896892
  1.9293433 ]"
91,The problem is simple., The problem is surprisingly simple.,"[ 0.5028215   0.79546463  0.9998002  ...  0.24631126 -0.90336907
  1.9135758 ]","[ 1.0567628  -0.39537156  0.82274836 ... -0.8449182  -0.7663045
  1.0425388 ]"
92,The solution is elegant., The solution is remarkably elegant.,"[ 1.8935341   4.133876   -0.74556506 ...  0.26271147 -0.05249519
  1.4782419 ]",[ 2.1618435  2.9238265 -0.9584126 ... -0.1741051 -0.2806408  1.2630806]
93,The design is modern., The design is strikingly modern.,"[-1.3856881  -1.165786   -0.17714345 ... -1.1413924  -2.391677
  2.8708365 ]",[-2.9455376 -2.4004314 -0.4417624 ... -1.6377045 -2.5027556  2.3508115]
94,The presentation is clear., The presentation is exceptionally clear.,"[-0.17506877  0.19333191  1.1021633  ... -2.066524    0.91390246
  0.9754669 ]","[-1.3720818   0.45492896  0.33362785 ... -2.1865394   1.3365579
  1.58643   ]"
95,The argument is convincing., The argument is overwhelmingly convincing.,[ 1.4616762  3.0744698  1.7214648 ... -2.1194415  1.7330363  3.4804184],"[-0.04907176  4.8533096   0.8466769  ... -1.2650831   2.8493776
  2.8731525 ]"
96,The evidence is strong., The evidence is remarkably strong.,"[ 0.9986639   2.780319    1.1394596  ... -0.24577129  2.7097638
  4.9948745 ]",[ 0.5932562  2.306903   0.6152318 ... -1.0824645  2.741988   3.9863224]
97,The analysis is thorough., The analysis is extremely thorough.,"[ 0.8484036  -0.6231502   1.5706642  ... -1.4963255  -0.06596017
  1.8017712 ]","[ 0.541218   -0.5652801   1.1296083  ... -0.91609687  0.11023521
  1.9855852 ]"
98,The experiment is successful., The experiment is highly successful.,[ 2.6376233  5.627977   1.7568327 ... -1.1308274 -1.9668173  2.2179995],[ 2.2036793  4.710646   0.9915939 ... -1.1807421 -2.2032409  1.2967914]
99,The results are positive., The results are very positive.,"[ 0.78652465  3.6552777   0.34925085 ... -0.5416703  -0.4415453
  3.3911076 ]","[ 2.2984488   1.8629875   0.00991841 ... -1.2857924   0.21512397
  3.029813  ]"
100,The outcome is uncertain., The outcome is somewhat uncertain.,[-1.0283891  2.6525283  2.215874  ... -0.1464866 -1.0013714  2.9235024],"[-0.61450166  0.83204865  0.89992744 ... -0.7658964   0.3697637
  2.0334694 ]"
101,The situation is critical., The situation is extremely critical.,"[-0.8501183   1.7149864   0.31842688 ...  0.11901367 -2.0608847
  4.3295846 ]","[-1.1330938   1.9542698   0.28874758 ...  0.52333593 -1.3487304
  3.8418887 ]"
102,The matter is urgent., The matter is very urgent.,"[-1.6017697   4.3166285   2.2609735  ... -0.51185167 -0.94606113
  3.993972  ]","[-1.3520166   4.6403193   1.8963696  ...  0.06648185 -1.0966411
  3.276069  ]"
103,The task is challenging., The task is extremely challenging.,[-1.8448349  2.3263125  1.4214739 ... -0.2948866 -1.4713156  1.8478966],"[-1.0452591   4.1828923   0.82935953 ...  0.16367114 -0.5694946
  2.2877269 ]"
104,The project is ambitious., The project is quite ambitious.,"[-0.33833328 -0.7122928   1.9061989  ... -0.32648495 -2.8985505
  1.7041153 ]","[-1.10455    -0.8425357   1.586897   ...  0.08876872 -3.0849552
  1.9494959 ]"
105,The deadline is tight., The deadline is incredibly tight.,"[-0.94744194 -0.38043332  2.5386245  ... -1.5511819  -0.09321769
  4.211379  ]",[-0.8027728 -1.1723746  2.1894367 ... -1.4212793 -0.4447451  3.9003403]
106,The schedule is busy., The schedule is extremely busy.,"[ 0.51483834 -5.149083    2.1124878  ... -1.0597994  -1.4567164
  1.3004463 ]","[ 0.80095893 -4.132108    2.0583751  ... -1.2805488  -1.384057
  2.0780277 ]"
107,The meeting is productive., The meeting is very productive.,"[ 1.8028187  -1.4792037   0.7655306  ... -1.3596766   0.68386686
  1.5568129 ]","[ 1.2837058  -1.5546255   0.02371713 ... -1.1904973   0.58006364
  0.75838846]"
108,The team is efficient., The team is remarkably efficient.,[ 2.3846278  0.9267996  1.4318641 ... -1.8151916 -3.6793163  3.5001373],"[ 2.1256096   0.81195575  1.1764845  ... -2.213197   -2.7557905
  3.4570274 ]"
109,The company is successful., The company is highly successful.,"[ 1.4540883   1.6915548   2.0791929  ... -0.89768445 -3.5880382
  2.4739492 ]","[ 1.395503    3.0977728   1.9837747  ... -0.72419196 -2.88276
  1.9265985 ]"
110,The business is profitable., The business is extremely profitable.,"[ 0.85489863  0.4754551   2.7802143  ... -1.9877021  -2.2568605
  2.6829123 ]",[ 0.8361664  1.343695   2.49599   ... -1.6687422 -1.296965   2.0819035]
111,The investment is risky., The investment is slightly risky.,"[-2.2272193   3.611381    3.8983645  ... -0.3533677   0.55327904
  2.861842  ]","[-0.98749334  1.8122969   3.5543451  ... -0.5040693   0.25722194
  1.3544701 ]"
112,The market is volatile., The market is extremely volatile.,"[ 0.60821044  1.1155505   3.6539865  ... -0.18122868 -2.4801927
  4.2692494 ]","[ 1.0704687   1.8194565   3.0598328  ... -0.42726126 -1.667211
  3.6290207 ]"
113,The economy is stable., The economy is relatively stable.,"[ 2.2091727   2.267325    2.2718647  ... -2.9541032  -0.02907019
  2.0863822 ]","[ 2.364316    2.7440326   2.4795055  ... -2.5432422   0.40772036
  1.374708  ]"
114,The growth is slow., The growth is somewhat slow.,[-0.2564157  0.4069763  3.076744  ...  0.3133467 -1.87093    2.3503327],"[-0.26533628 -1.2330378   2.5662646  ...  0.34851643 -1.1610109
  2.3958716 ]"
115,The progress is steady., The progress is remarkably steady.,"[ 1.2148067   0.75728214  2.180878   ... -0.26708674 -0.1920588
  1.8219227 ]","[ 1.3815781   0.40895903  1.9185983  ... -0.5813153   0.12978272
  1.4696862 ]"
116,The development is rapid., The development is extremely rapid.,"[ 0.31118083 -1.0763786   1.76348    ... -0.34149992 -1.6422628
  2.0953715 ]","[ 0.15223889 -0.5229476   1.5190169  ...  0.28227654 -1.4344734
  2.0253372 ]"
117,The technology is advanced., The technology is very advanced.,[ 0.2321713  4.4203978  1.9890658 ... -0.7555319 -2.8856187  2.3496292],"[ 0.18697481  5.1860785   1.8669958  ... -1.1711768  -3.4625044
  1.7822495 ]"
118,The innovation is groundbreaking., The innovation is truly groundbreaking.,"[ 0.6302625   3.6251864   0.91397464 ... -1.1900114  -1.5769897
  0.41028038]","[ 5.0617546e-02  4.1741261e+00  9.1131711e-01 ... -1.7554389e+00
 -8.5517472e-01  1.0423859e-04]"
119,The invention is useful., The invention is extremely useful.,"[ 3.1929746   3.8199706   0.48194295 ... -2.0206249   1.5197676
 -0.48954135]",[ 3.98157    3.5256798 -0.1326005 ... -1.1952728  1.014953  -0.4213816]
120,The discovery is important., The discovery is very important.,"[ 0.94840556  4.069541    0.91442454 ... -2.1463037   0.50495005
  1.2775648 ]","[ 0.4172598   4.2772107   0.46825123 ... -1.5265589   0.09180045
  1.0781116 ]"
121,The research is insightful., The research is incredibly insightful.,"[ 2.3993132  -0.40593082  2.1525435  ... -1.1007423   0.84627235
  0.09942766]","[ 1.0513283   0.4773709   1.2683645  ... -0.7442427   0.45484468
  0.5525778 ]"
