,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
20,He jumps over the fence.,He jumped over the fence.,"[ 0.14237309  4.6806397   0.7636556  ... -0.37118888 -1.6780876
  5.989962  ]","[-0.49384758  4.5363603   0.36445224 ... -0.5073549  -0.48692343
  6.601126  ]"
21,The stars twinkle brightly.,The stars twinkled brightly.,"[ 0.80144507 -0.68266934 -1.3147143  ... -0.6698639  -3.478042
  1.4261802 ]","[ 1.4708446  -1.5907875  -0.84053665 ... -0.52600205 -2.6526926
  0.6306571 ]"
22,She paints beautiful pictures.,She painted beautiful pictures.,"[-0.18004677  0.9959074   1.8718469  ... -1.417661   -2.1820083
  1.4490467 ]","[ 0.29594022  0.33746117  1.2014221  ... -2.039518   -1.3202603
  1.6314919 ]"
23,They swim in the pool.,They swam in the pool.,[-1.3027192  4.137812  -1.7254648 ...  1.7842396 -5.182566   3.201011 ],[-0.6991488  3.2390554 -1.6242558 ...  0.613282  -3.6435657  3.8190644]
24,He reads interesting books.,He read interesting books.,"[-1.4033377   3.3599167   0.90973204 ... -0.9822537   0.23319654
  4.1513    ]","[-1.9664234   2.2120333   0.31249183 ... -1.7298632   1.6944973
  4.0878706 ]"
25,The wind blows strongly.,The wind blew strongly.,"[ 2.2016912   3.7185047   1.4555683  ... -0.3021496  -0.4877209
  0.79937947]","[ 1.7002285   2.7855005  -0.089643   ...  0.11841454  0.3468483
  0.6765416 ]"
26,She bakes a delicious cake.,She baked a delicious cake.,"[ 0.58058065  3.1067061   1.4471323  ... -2.3727748  -1.1230549
  3.7313364 ]","[-0.18005168  3.3190594   0.34503618 ... -3.4044397  -0.4181575
  4.483033  ]"
27,They sing lovely songs.,They sang lovely songs.,"[-0.67824507  3.5770645  -2.0173602  ... -1.4321543  -4.205061
  0.68421996]","[-1.0261247   2.0551982  -0.71322376 ... -1.7492183  -1.9413038
  0.2722229 ]"
28,The rain falls softly.,The rain fell softly.,[ 2.834227   1.6600511  1.0921025 ... -0.85068   -3.4281185  1.4575516],[ 2.5720973  1.0182106  0.2889681 ... -0.9487894 -3.6060777  1.3599067]
29,He listens attentively.,He listened attentively.,"[-0.29561812  5.6287055   3.3235524  ... -1.9762268  -0.73123187
  1.5173405 ]","[-0.16913348  4.204785    2.987455   ... -1.7576774   0.20106654
  1.9118328 ]"
30,She speaks eloquently.,She spoke eloquently.,[-2.6975682  3.230271   1.2766088 ... -0.7553281 -4.5335007  3.410757 ],[-2.256849   2.124778   1.0343709 ... -2.1339548 -3.6173632  3.4413033]
31,They travel extensively.,They travelled extensively.,"[ 0.9420755   1.6800567   1.3092499  ... -1.8147532  -0.76809764
  3.7948866 ]","[ 0.16776377  0.9723064   1.5342484  ... -2.4390059   0.99362755
  4.0621357 ]"
32,He runs a marathon.,He ran a marathon.,[ 2.9072711  2.6910462  0.9336008 ... -0.7780469 -3.1838562  4.706994 ],"[ 1.745348    2.1632876   0.20057721 ... -1.405842   -2.2791095
  5.3139796 ]"
33,She plays the piano.,She played the piano.,"[ 1.6818657   5.6035085  -0.19938263 ... -0.5853805  -4.965592
  4.7118773 ]","[ 1.1261488   3.968675   -0.36167955 ... -0.9260127  -3.0847418
  5.278349  ]"
34,They learn new things.,They learned new things.,"[-1.839472    4.4953604   0.95654833 ... -0.1048467  -2.4568267
  3.0502205 ]","[-1.9104099   3.287685    0.7475884  ... -0.8512291  -0.66282034
  2.0868962 ]"
35,He thinks deeply.,He thought deeply.,"[-1.4917574   3.9874935   2.9662085  ...  0.21418059 -1.9144475
  4.1156216 ]","[-1.1111783   2.4818408   2.6836185  ... -0.58718044  0.13379568
  3.7369728 ]"
36,She feels happy.,She felt happy.,"[ 0.77604645  5.243699    3.8082016  ... -1.2727687  -2.8415184
  3.8581667 ]","[ 0.93423015  3.6794815   2.6386604  ... -1.8057351  -0.11474198
  3.9936073 ]"
37,The birds chirp merrily.,The birds chirped merrily.,"[ 2.1430287  -0.02074069 -0.45344812 ... -1.9988241  -1.2796997
  0.06320249]","[ 1.1159523  -0.30860862 -0.6297686  ... -2.4893215  -0.12184584
  0.27675977]"
38,He smiles warmly.,He smiled warmly.,"[ 2.7503884   5.965764    4.43882    ... -1.1094549  -0.92920977
  1.7007455 ]","[ 3.6013694   5.681118    3.4619813  ... -1.6966004   0.78209955
  2.1792443 ]"
39,She cries softly.,She cried softly.,[ 2.088523   5.394468   2.7085447 ... -0.0843026 -1.2493486  4.3765273],"[ 1.5139985   4.6909966   2.5331674  ... -1.4829428  -0.32794964
  4.0928383 ]"
40,The leaves fall from the trees.,The leaves fell from the trees.,"[ 1.1608058  -0.6606776  -1.3739367  ... -1.9369446  -3.2458892
 -0.17870429]",[ 1.1431001 -1.497493  -1.4426657 ... -1.8640522 -2.6983974  0.2209421]
41,He waits patiently.,He waited patiently.,[ 1.3118956  4.939644   2.7460337 ... -1.9624296 -1.0475215  4.4709663],"[ 0.49186963  4.544132    2.4641404  ... -1.8553238   0.7476668
  4.9244876 ]"
42,She hopes for the best.,She hoped for the best.,"[-1.7400646   7.638946    0.66657376 ...  0.28394055  0.24419634
  2.6129248 ]","[-2.0643988   7.4728875  -0.06855104 ...  0.8924753   2.2145774
  2.1907828 ]"
43,They believe in miracles.,They believed in miracles.,"[ 0.13423459  8.477673    0.45476064 ... -0.03227496 -2.9278114
  2.05404   ]","[ 0.36879045  9.37348     0.6214203  ... -0.28494847 -0.94743156
  1.9383571 ]"
44,The snow falls gently.,The snow fell gently.,"[ 2.4893804  -0.02909191 -1.8342556  ... -2.812965   -1.4151783
  1.2105978 ]",[ 2.0437706 -1.3162293 -2.6142957 ... -2.58225   -1.148848   1.7248236]
45,He dreams big dreams.,He dreamt big dreams.,"[-1.5600717   5.04595     0.19068556 ... -0.18464729 -1.5170703
  2.9310021 ]","[-1.4091883   3.8773928   0.2713925  ... -0.8926719  -0.06321611
  2.7730892 ]"
46,She loves unconditionally.,She loved unconditionally.,"[ 2.401279    6.6849656   0.11697638 ...  0.07364188 -3.0263817
  1.7617518 ]","[ 1.5724936   6.9043694  -0.26393908 ...  0.10934844 -1.8541043
  1.3644199 ]"
47,They understand each other.,They understood each other.,"[ 0.4606506   5.3542604   1.8955905  ... -0.96948016 -3.667828
  1.5220121 ]",[ 1.0438408  4.426072   2.3229432 ... -0.7314724 -1.8562663  1.27932  ]
48,The clock ticks loudly.,The clock ticked loudly.,"[ 0.05637712  0.20437331  1.3695772  ... -0.38066062 -1.6289927
  2.7567255 ]","[ 0.97488135 -1.5346473   1.5869508  ...  0.52261764 -0.9774222
  1.7795717 ]"
49,He sees clearly.,He saw clearly.,[ 0.424938   4.5624013  3.5100737 ... -0.8944584 -1.9398175  3.739828 ],"[-0.70100033  3.5107036   2.4942732  ... -1.3852804  -0.2823163
  2.7855413 ]"
50,She hears faintly.,She heard faintly.,"[ 0.55850023  3.903141    0.18310174 ...  0.2867152  -0.8083625
  1.9598757 ]","[ 0.20556068  3.0191998  -0.06846676 ...  0.05074546  0.9236191
  2.163031  ]"
51,They smell the flowers.,They smelled the flowers.,[-0.8590785  4.439135   0.39129   ...  2.1462424 -4.1538725  1.3245627],"[-0.81836796  5.34116     0.31120306 ...  2.1500354  -3.0074542
  1.374451  ]"
52,He tastes the wine.,He tasted the wine.,[-2.2747746  5.884965   4.359398  ...  1.2568696 -1.1984804  1.8437847],"[-2.128899    6.549146    3.962624   ...  0.68808234 -0.22665448
  1.5957892 ]"
53,She touches gently.,She touched gently.,[ 2.6604247  6.1299477  2.3435912 ...  0.755502  -1.1425697  0.9830846],[2.1022081  6.136915   1.5667245  ... 0.3089525  0.34189668 0.48820016]
54,The phone rings loudly.,The phone rang loudly.,"[-0.8014456   4.5665007   0.25743416 ...  0.6140458   0.2276781
  3.6468596 ]","[-0.36786476  3.5344214  -0.0362571  ...  0.68110955  1.0192268
  3.704675  ]"
55,He walks quickly.,He walked quickly.,"[ 2.4743032   3.5248995   0.76163304 ... -0.05366179  0.9824955
  3.362812  ]","[ 1.6581854   1.4936256   0.52640283 ... -1.0898873   2.5965655
  2.9745505 ]"
56,She runs swiftly.,She ran swiftly.,"[ 2.5130067   4.3648176   1.4518291  ... -0.22478554 -2.7427244
  3.1558557 ]","[ 1.8199828   2.8154504   0.8584224  ... -0.51641905 -0.02477191
  3.2879324 ]"
57,They jump high.,They jumped high.,"[ 0.9393      4.7036653  -0.94262683 ... -1.0209498  -4.663186
  4.783593  ]","[ 0.11066118  4.5021324   0.4756648  ... -1.3702831  -2.8172035
  4.8261886 ]"
58,He climbs the mountain.,He climbed the mountain.,[ 3.1157556  5.739827   2.177168  ...  1.5464623 -1.6265442  4.004482 ],"[ 2.8712833   5.549355    1.5243574  ...  1.1312749  -0.20040369
  4.36334   ]"
59,She swims gracefully.,She swam gracefully.,"[ 2.6781292   4.363849   -0.08952463 ... -0.21665823 -4.467274
  5.5087266 ]",[ 1.2287095  3.537983   0.6114863 ... -0.7358799 -2.053555   3.8143585]
60,They cycle along the path.,They cycled along the path.,"[ 0.74172777 -0.8255105   1.2593273  ...  2.0775928  -3.5509968
  1.0581111 ]",[ 2.0694027 -0.5307892  1.2550288 ...  1.849516  -2.2856672  1.4690584]
61,He drives carefully.,He drove carefully.,"[-0.10674709  7.9008317   0.9960854  ... -1.1854497   0.97971284
  4.0392156 ]","[ 0.43434948  4.895978    0.8877497  ... -2.1338344   3.0876865
  4.028849  ]"
62,She cooks expertly.,She cooked expertly.,[-0.3142096  3.8200355  1.045156  ... -1.1853956 -2.550217   5.027662 ],"[-0.82529944  3.8198972   0.69916356 ... -2.059441   -0.7858548
  5.123919  ]"
63,They bake sweet treats.,They baked sweet treats.,[-2.4620204  2.551229   1.58449   ... -1.3802351 -1.76472    2.3580937],"[-1.5712266   2.4679723   1.7031953  ... -2.8978403  -0.43807754
  2.083934  ]"
64,He paints abstract art.,He painted abstract art.,"[-1.913688   -0.82805026  3.3834388  ... -1.8211415  -4.0356174
  0.5789501 ]",[-1.3780005 -1.0866258  3.0602891 ... -1.5883734 -2.6420372  0.9724165]
65,She writes gripping novels.,She wrote gripping novels.,[-1.3957832  2.1215546  1.4629611 ... -0.9073704 -1.5908537  3.1162026],[-1.8276523  2.466809   1.2892916 ... -1.1693072  0.6762884  2.785312 ]
66,They sing soulful ballads.,They sang soulful ballads.,"[-1.9322641   2.1531005   0.42969617 ... -2.2944906  -4.2656755
  1.560528  ]","[-1.5719405   2.067044    0.9029642  ... -2.140206   -2.5525181
  0.32704762]"
67,He plays jazz music.,He played jazz music.,"[-0.05254278  5.835635   -0.16595396 ... -2.7505777  -1.265833
  4.0089464 ]","[-1.0409905   4.7175684   0.34212112 ... -2.6735241   0.8107525
  3.924163  ]"
68,She dances the tango.,She danced the tango.,"[ 0.12903856  0.31693754  0.00542438 ...  1.6990747  -3.8287313
  4.478331  ]","[ 0.20317276 -0.93105894 -0.18573225 ...  1.1017228  -2.5555851
  4.077035  ]"
69,They perform on stage.,They performed on stage.,"[-2.4106777   1.0803213  -1.564595   ... -0.00844467 -3.171225
  3.0970776 ]","[-2.8143272   0.80231637 -1.1104087  ... -0.68644154 -2.7860992
  2.2551765 ]"
70,He creates stunning images.,He created stunning images.,"[-2.6721349   1.9638455   0.16467169 ...  0.12718615  0.18111043
  2.5881252 ]","[-3.1563153   2.1951916   0.15744407 ... -0.4629417   0.62659234
  2.3902948 ]"
71,She designs beautiful clothes.,She designed beautiful clothes.,"[ 1.361926    2.350562   -0.19795218 ... -1.0690972  -2.8350983
  1.243891  ]","[ 1.147606    1.9597356  -0.61618555 ... -1.9247448  -1.4816751
  1.3121955 ]"
72,They build impressive structures.,They built impressive structures.,"[-0.6015384   3.448651   -0.06157732 ... -0.29807636 -1.214274
  1.1538633 ]","[-0.7161561   2.909975   -0.11279793 ... -0.40810928 -0.04033904
  0.5836197 ]"
73,He writes insightful articles.,He wrote insightful articles.,"[-0.5565399   2.044358    0.51527375 ... -1.4885173  -0.8995422
  1.8674396 ]","[-0.35572147  1.8430765   0.32952183 ... -2.7214808   1.1935265
  1.6563085 ]"
74,She researches diligently.,She researched diligently.,[ 1.4794098  2.7581952  2.8328903 ... -1.3153558 -1.9859775  2.5719695],"[ 0.28390747  3.21255     1.7015066  ... -0.76818293 -1.4352516
  3.942375  ]"
75,They teach enthusiastically.,They taught enthusiastically.,[-1.4799566  5.7848215  0.8110714 ... -1.3481787 -2.9050632  4.059289 ],[-1.460988   5.4074283  0.9322058 ... -1.2284658 -0.7359973  3.9373133]
76,He learns quickly.,He learned quickly.,"[ 2.555321    6.512062    2.2568457  ...  0.14660734 -0.2642069
  3.9785953 ]","[ 1.8409252   4.786893    1.0755205  ... -0.37658483  1.3802596
  3.8767285 ]"
77,She understands complex ideas.,She understood complex ideas.,"[-1.5073721   5.799389    3.7071865  ...  0.30964893 -4.218524
  2.6318927 ]","[-1.6474254   4.4634237   3.2732582  ...  0.43275705 -2.7547772
  2.5123389 ]"
78,They communicate effectively.,They communicated effectively.,"[-0.17136377  7.33921     0.74915135 ... -1.3350602  -4.329423
  2.9402745 ]","[ 0.36442274  6.6720552   1.6111016  ... -2.8252091  -2.8665757
  2.0095015 ]"
79,He solves problems creatively.,He solved problems creatively.,"[ 0.70215744  6.579625    0.90721196 ... -0.18773839 -0.7017604
  2.418755  ]","[ 0.50020874  5.312825    0.01471423 ... -1.0498501  -0.02960112
  1.1585469 ]"
80,She innovates constantly.,She innovated constantly.,"[ 0.05347161  5.951518    1.4801967  ... -0.61445606 -2.4139714
  1.2616409 ]",[ 0.7995618  5.260933   1.1704241 ... -1.2275349 -1.4081148  1.0301795]
81,They collaborate seamlessly.,They collaborated seamlessly.,"[ 1.1333361   3.2253313   1.0037493  ... -0.59071785 -0.6976231
  1.6850008 ]","[ 0.93570566  2.454139    1.0667067  ... -1.6080235   0.17058519
  1.5485522 ]"
82,He leads effectively.,He led effectively.,"[-0.27963287  6.65432     1.3835393  ... -0.0341585  -0.07922991
  3.237674  ]","[-0.715441    6.545923    0.26888824 ... -1.0868114   1.1660357
  3.8521864 ]"
83,She manages skillfully.,She managed skillfully.,"[ 0.5530113   4.5172377   2.3862045  ...  0.23708919 -1.683223
  2.759196  ]","[ 0.6907566   4.124202    1.180719   ... -0.38968563  0.58973634
  2.9102812 ]"
84,They organize efficiently.,They organized efficiently.,"[ 1.6114868   3.911319    1.0884931  ... -0.43770915 -0.810344
  2.5907893 ]","[ 1.1537721   2.9312096   1.5791991  ... -1.6379963  -0.38298896
  2.3719606 ]"
85,The bird sings sweetly,The bird sang sweetly,"[ 1.0123297   2.6667762   0.32845965 ... -3.0838294  -1.7905085
  0.01749534]","[ 0.7293262   2.3014693   0.01201825 ... -3.3775563  -1.5212969
  0.04830482]"
86,The sun sets in the west,The sun set in the west,[-1.5465583  1.7205313  2.8355846 ...  2.6241207 -1.9850317  3.1723692],[-0.310801   1.3003708  2.570458  ...  2.5090601 -1.0637732  2.900737 ]
87,The dog barks loudly,The dog barked loudly,"[ 0.1251072   3.4180915   0.94730604 ... -2.4751663  -1.1805753
  0.18056141]","[-0.5277467   2.9663112   0.34919304 ... -2.6780465  -1.0697912
  0.31957182]"
88,The cat naps peacefully,The cat napped peacefully,"[ 3.9507942  -0.02663383  1.9776523  ... -0.20056161 -0.44928813
  5.773027  ]","[ 4.01204     0.3224823   1.4105607  ... -0.80775994  0.5673959
  6.2098713 ]"
89,The rain falls softly,The rain fell softly,[ 2.3475695  1.9023474  0.4851877 ... -1.2774599 -4.0850434  1.842496 ],"[ 2.0808053   1.4664364  -0.29224706 ... -1.4236346  -5.01093
  1.8637018 ]"
90,The wind blows gently,The wind blew gently,"[ 4.33006     2.2705002  -1.0702335  ...  0.42717266 -1.654215
  0.3415689 ]",[ 3.5057611  2.3756647 -2.2025244 ...  0.7537583 -1.3027103  0.6834412]
91,The leaves flutter down,The leaves fluttered down,"[ 3.0373185  -1.0355413  -2.3840365  ... -0.99824613 -4.0044003
  2.7361958 ]",[ 3.0586345 -1.2146796 -2.8974538 ... -0.6157619 -3.2244263  2.7035904]
92,The snow melts slowly,The snow melted slowly,[ 2.9035516 -1.0602741  0.353359  ... -2.519102  -2.465017   0.7974338],"[ 2.437592   -1.1423236  -0.647971   ... -2.7723193  -1.3301598
  0.65772855]"
93,The river flows steadily,The river flowed steadily,"[ 3.317233    0.6986612   0.3551245  ... -0.9633903  -3.3164866
  0.49260816]","[ 2.3442566   0.9081585   0.35557485 ... -1.1354656  -3.3144975
  0.33503932]"
94,The ocean waves crash,The ocean waves crashed,[ 2.13963    3.4451003 -0.6561524 ...  2.216035  -2.9273658  2.5065448],[ 2.3163106  3.450657  -1.1866691 ...  2.4192872 -2.548143   2.5786324]
95,The stars shine brightly,The stars shone brightly,"[ 0.16699061 -0.28077322 -0.77222586 ... -0.98688936 -4.1207128
  1.9901543 ]","[ 0.46706653  0.5155441  -0.90367    ... -1.286081   -3.5939949
  1.9936165 ]"
96,The moon illuminates the night,The moon illuminated the night,"[-0.74994045 -0.2825038   1.9818541  ... -0.6517183  -3.8908112
  0.18173926]","[-0.59840566 -1.5421886   2.371911   ... -0.6738685  -3.6451383
  0.743824  ]"
97,The clouds drift lazily,The clouds drifted lazily,"[ 3.8873997  -3.004599   -2.0368073  ...  0.09004769 -2.7050576
  0.7619713 ]","[ 3.4623132  -3.0611608  -2.1846304  ...  0.08939761 -2.5639024
  0.7531651 ]"
98,The flowers bloom beautifully,The flowers bloomed beautifully,"[ 3.1291304  -0.18881398 -1.2378519  ... -0.73666054 -4.567318
  2.5816917 ]","[ 2.1678164   0.46592006 -0.94616556 ... -0.37705413 -3.7334423
  1.7862661 ]"
99,The trees grow tall,The trees grew tall,"[ 0.51361513  0.42160723 -0.7889189  ... -2.206572   -3.2536786
  1.0839943 ]","[ 0.20583773  0.6604104  -0.59438145 ... -2.6683955  -2.1463277
  1.2590752 ]"
100,The grass grows green,The grass grew green,[ 2.2877917  1.2744343  2.72849   ... -1.3258865 -5.5791016  4.4237647],[ 1.950079   1.2359852  2.1736343 ... -1.7609551 -5.1791897  4.1009645]
101,The children play happily,The children played happily,"[ 0.75374717  0.6291604  -1.0155034  ... -3.225182   -3.2116923
  3.6436763 ]","[ 0.70188177  0.46181434 -1.8206581  ... -4.393156   -2.4599285
  3.1431584 ]"
102,The birds fly high,The birds flew high,[ 1.998192   0.8485297 -0.8194004 ... -2.049573  -2.2478063  3.2712514],"[ 2.007892    1.1188396  -0.08800223 ... -2.2156744  -1.6432532
  3.538783  ]"
103,The bees buzz around,The bees buzzed around,"[ 0.88753855  0.22367908 -0.44178528 ... -1.5071021  -1.8851715
  0.50981814]","[ 0.565093   -0.01596386 -1.170852   ... -1.48916    -1.610822
 -0.05946521]"
104,The butterflies flit about,The butterflies flitted about,[ 2.870223  -1.3328938 -0.9461702 ... -0.9600984 -2.6262345  1.403641 ],"[ 2.5736263  -1.5830698  -0.8985621  ... -0.82965744 -2.1043522
  1.4327221 ]"
105,The squirrels scamper up trees,The squirrels scampered up trees,"[-0.3717397   0.29272276 -0.241125   ... -1.7762604  -1.2563837
  1.0879424 ]","[-1.1082395   0.48238882  0.19630015 ... -2.048709   -0.7508946
  0.9046402 ]"
106,The rabbits hop through fields,The rabbits hopped through fields,"[ 1.8086958   0.7365893   0.20503625 ... -0.04757199 -2.55732
  3.9283574 ]","[ 2.0122256   0.19615692 -0.67290777 ...  0.00579152 -1.232053
  2.9057114 ]"
107,The deer graze peacefully,The deer grazed peacefully,"[ 0.90427864 -1.315887    0.7897022  ... -1.5914961  -1.0607128
  2.984517  ]","[ 1.8399471  -2.7879977   0.44363213 ... -2.69074    -0.70524514
  3.0470066 ]"
108,The foxes hunt cleverly,The foxes hunted cleverly,[ 1.496645   0.5996143 -0.6518875 ... -3.4334385 -2.1935394  3.4659607],[ 1.7661451  0.8905334 -1.00077   ... -3.923582  -1.1599089  2.5988522]
109,The wolves howl at the moon,The wolves howled at the moon,"[-1.3289293   1.3203983  -2.1238158  ... -1.9306704   0.07834025
  1.6090858 ]","[-1.2301227   1.6214286  -2.4631474  ... -1.6292995   0.20733282
  1.798006  ]"
110,The bears hibernate in caves,The bears hibernated in caves,[ 1.0363332  1.9523917 -2.0672243 ... -2.1849802  1.9832991  1.2397414],[ 1.1461641  1.1634756 -1.7164944 ... -1.9088421  2.2610326  1.5379658]
111,The lions roar powerfully,The lions roared powerfully,"[-0.60027176  3.699842   -0.5997158  ... -1.2556723  -1.5072639
  2.6479192 ]","[-1.5366389   3.3717833  -0.2501557  ... -0.83328956 -1.3314983
  2.080226  ]"
112,The tigers stalk their prey,The tigers stalked their prey,[ 1.5232638  0.7519972  0.99787   ...  1.1211175 -1.9586033  2.6376247],"[ 0.9407264   0.45965078  0.7467116  ...  0.91947705 -1.7189977
  2.3951213 ]"
113,The elephants roam the savanna,The elephants roamed the savanna,"[ 1.415253    0.06734324 -0.3806273  ... -0.3724899  -1.7812744
  2.0662806 ]","[ 1.0272002   0.814859    0.63587886 ... -0.09577537 -1.0412067
  1.939642  ]"
114,The giraffes reach for leaves,The giraffes reached for leaves,"[-0.16864422 -0.6928198   1.8865558  ...  0.05921599 -2.3065753
  1.0995705 ]","[ 0.20210974 -0.38590676  1.6062914  ... -0.2825956  -1.1590608
  1.4987954 ]"
115,The zebras graze together,The zebras grazed together,[-1.3219645  0.5104351  2.7036278 ...  0.5251859 -2.9390116  4.2198424],"[-0.4359871  -0.61207074  1.4875889  ... -0.7265586  -2.461695
  5.1740003 ]"
116,The monkeys swing through trees,The monkeys swung through trees,"[ 1.4222525   0.31001663 -0.865065   ...  0.05329521 -1.5076802
  1.3624085 ]","[ 1.6939306   0.9080087  -0.7945445  ... -0.9004688  -0.48565617
  0.8435222 ]"
117,The parrots squawk loudly,The parrots squawked loudly,"[-1.2770531   0.86440396  0.63445836 ... -1.5214001  -1.3932754
  3.0852814 ]","[-1.8452892   1.0445148   0.41639945 ... -1.2764381  -1.1876497
  2.6724792 ]"
118,The owls fly silently,The owls flew silently,[ 1.898469  -1.2289399  1.1972994 ... -2.9815316 -1.0550535  1.6140718],"[ 1.9609705  -0.9744965   1.5351942  ... -3.1028206   0.06636368
  1.1932017 ]"
119,The eagles soar high above,The eagles soared high above,[ 1.2877358  1.23065    0.9240995 ... -1.7648228 -2.3501885  4.158918 ],[ 1.0715364  0.7997532  1.2868773 ... -2.2372165 -1.5243634  4.241348 ]
120,The hawks hunt skillfully,The hawks hunted skillfully,[ 1.5775498  1.0379523  0.3989471 ... -2.5114982 -1.0176207  2.865017 ],"[ 1.6851488   1.1395125   0.19372173 ... -3.3801413  -0.30771318
  2.3699555 ]"
121,The frogs leap into ponds,The frogs leaped into ponds,"[ 0.45251417  1.6217915  -0.625013   ...  0.74074405 -3.6572044
  5.3444014 ]","[-0.04141414  2.4525259  -0.03675945 ... -0.15014426 -3.3732665
  4.3085713 ]"
122,The turtles slowly crawl,The turtles slowly crawled,"[ 2.5507698   0.39493155  1.3914016  ... -0.46045378 -0.552346
  2.295645  ]","[ 2.487565    0.46599534  1.4913672  ... -0.5850388  -0.35800827
  2.40051   ]"
