,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
12,They are friendly people., They are unfriendly people.,"[ 1.6916742   3.7854683   2.6767786  ... -1.52783    -1.8780811
  0.80987394]","[ 1.4600216   4.801196    1.0595049  ... -0.02007794 -1.2235794
  1.4023925 ]"
13,The flowers are beautiful., The flowers are ugly.,"[ 2.253389    5.2515345   0.15161109 ... -0.3542491  -4.5287733
  2.0869348 ]","[ 2.2135918   3.6561418   0.21024406 ...  0.59867525 -3.6737812
  1.3730572 ]"
14,This book is interesting., This book is uninteresting.,"[-1.4657447   0.4897631   2.4836016  ... -0.82682455  2.7491431
  2.7611482 ]","[-0.31276417  0.4954271   0.11267903 ... -0.15674433  3.5706985
  3.1339076 ]"
15,The music is calming., The music is irritating.,"[ 1.0708354   2.7402742   0.5399565  ... -0.49474674  0.9320057
  0.46557045]",[ 0.3020733  3.1422672  1.1389239 ... -0.8148426  0.3057496  0.7243369]
16,He is a kind person., He is a cruel person.,[ 3.2660484  7.174129   3.0379117 ...  0.6183202 -1.1335148  2.0542533],"[ 1.7307216   8.367101    0.3184482  ...  0.49962595 -0.14217667
  2.785123  ]"
17,She is optimistic about the future., She is pessimistic about the future.,"[ 0.88445663  6.0272565   2.364018   ... -0.9261122  -3.6042855
  3.3013809 ]","[ 0.3648668   3.6246967   0.86428493 ... -1.9281242  -2.1144733
  2.910335  ]"
18,The dog is playful., The dog is lethargic.,[ 2.9678674  3.9491146  0.9621375 ... -1.4666805 -1.6245998  2.4866219],"[ 2.9189646   1.8466556   0.09260654 ... -1.4796213  -0.902203
  1.190154  ]"
19,The cat is affectionate., The cat is aloof.,[ 5.9193053  2.6899922  3.6715472 ... -1.1494904 -2.6135824  4.7972817],[ 5.139023   1.9163905  5.2248774 ...  0.8548711 -1.4470555  3.509792 ]
20,The coffee is strong., The coffee is weak.,"[-3.8043542   3.5353744   4.173523   ... -0.03888967 -0.4307372
  4.212874  ]","[-1.5113506   3.393285    4.1851587  ... -0.64644295 -0.31444496
  3.4459999 ]"
21,The sun is shining brightly., The sun is hidden behind clouds.,"[-1.0678679   3.9002564   2.353748   ...  0.43915203 -4.717338
  2.211031  ]",[-1.1286241  3.4606297  2.8684256 ...  3.0324512 -3.9958599  2.250183 ]
22,The story is captivating., The story is dull.,"[-1.1579547   0.14709885  1.8267944  ...  0.36682802 -1.1493437
  3.0924401 ]","[ 0.37156716 -0.79875326  0.78172916 ...  0.5221126  -0.38446513
  1.3217473 ]"
23,The cake is moist., The cake is dry.,"[ 0.97990686  2.4395201   2.9046626  ... -0.83912957 -0.61741775
  2.7368405 ]",[1.2060753 2.3882425 2.366653  ... 0.6438899 1.3067443 2.4330869]
24,He is a generous giver., He is a stingy giver.,"[ 3.4045894   7.828604    0.889539   ... -0.5340814  -0.58041173
  1.9805638 ]","[ 3.103936    6.2033014   0.8024311  ...  0.44290647 -0.7542213
  2.0457768 ]"
25,She is a diligent worker., She is a lazy worker.,"[ 2.1006584   3.7768266   2.4291103  ... -0.52021325 -3.4906998
  3.9206097 ]","[ 1.7940826   3.5321743   1.9597806  ... -0.23572195 -1.4494992
  3.5201328 ]"
26,The trip was amazing., The trip was dreadful.,"[ 1.4311949   0.59341395  2.2376812  ... -0.96818334  1.1312767
  2.1591506 ]","[ 0.8338609   0.16391775  1.8287907  ... -0.85078335  1.463744
  1.4983827 ]"
27,The concert was superb., The concert was awful.,"[-0.19785348 -0.11860605  0.54541457 ... -1.1116526  -1.7738091
  2.3087325 ]","[ 0.67490697 -0.7454383   0.4972547  ... -0.32011515 -0.69841933
  0.9579069 ]"
28,I like ice cream., I dislike ice cream.,[-1.354181   4.481059   3.240068  ... -2.891049  -1.9045794  2.3840992],[-0.425697   4.099986   2.9536622 ... -2.6340802 -2.1378856  2.9142199]
29,He appreciates her help., He doesn't appreciate her help.,"[ 3.201996    6.5808167   1.8551811  ... -1.5439163  -0.74655795
  0.655808  ]",[ 4.3171086  6.2145805  1.3645617 ... -0.6216734 -0.6097698  1.4902222]
30,She supports the cause., She opposes the cause.,[ 1.9950386  6.8789167  1.2032156 ...  0.1789056 -2.880878   2.5150492],[ 1.4162357  7.3940773  1.227162  ... -0.4976744 -0.4201046  2.8695114]
31,They believe in justice., They don't believe in justice.,"[-1.4462217   9.968233    0.29914123 ... -0.05768223 -3.311433
  2.9537914 ]","[ 0.44732708  9.057545   -0.6081893  ... -0.16072726 -1.8972929
  2.6765263 ]"
32,The company is profitable., The company is unprofitable.,[ 1.6172428  1.2654203  3.3547063 ... -1.6251808 -4.024175   2.598163 ],[ 0.8690098  1.2501568  2.8292744 ... -1.1753861 -3.935373   2.3232996]
33,He is a skilled surgeon., He is an unskilled surgeon.,"[ 0.7837456   8.164594    0.9644342  ...  0.21266316 -0.7082612
  4.086926  ]","[ 0.89887667  7.088466   -0.36101332 ... -0.36499688 -0.17541808
  3.6438284 ]"
34,The painting is stunning., The painting is hideous.,"[-2.9589398  -0.17373092  1.9104712  ... -0.8942879  -1.3542659
  3.3237572 ]","[-0.5066169  -0.09642728  3.0158377  ... -0.35648015  0.15697362
  0.97105414]"
35,The performance was excellent., The performance was terrible.,"[-0.12848487  0.831233   -0.15236607 ... -1.3803401  -1.077743
  2.2867973 ]","[-0.286148    1.138531    0.14500575 ... -1.683285   -0.48641545
  1.5014055 ]"
36,The restaurant is popular., The restaurant is unpopular.,[ 1.5251456 -3.9849784  1.932132  ... -1.42386   -3.099777   3.2536793],[ 2.2796097 -2.9972727  1.6981986 ... -1.0705837 -2.5136611  2.939961 ]
37,She is a great cook., She is a terrible cook.,"[ 1.5970222   5.919756    3.050024   ...  0.33728027 -3.1396115
  4.656847  ]","[ 0.0615207   5.605471    2.2174149  ...  0.78727674 -2.6909504
  4.648063  ]"
38,He is a good listener., He is a bad listener.,"[ 0.78945166  7.026176    2.2075505  ... -0.08866713 -1.1443197
  3.1871138 ]","[-0.2583493   6.6842957   1.8277267  ...  0.54530257 -0.19841504
  2.6499248 ]"
39,The view is spectacular., The view is disappointing.,"[-1.1954972  -2.381227    2.2253947  ...  1.012345   -0.76622695
  2.8627315 ]","[-0.8003917  -2.0214458   0.9226853  ...  0.56970984 -0.9009657
  2.1577992 ]"
40,The service was exceptional., The service was poor.,"[ 2.4122167   2.6686513   1.4886078  ... -1.1687062  -0.5746733
  0.65137166]","[ 1.3400445   3.3210576   2.256946   ... -1.4925504  -0.41479945
  1.3104807 ]"
41,The product is high-quality., The product is low-quality.,"[-0.11528405  4.8787937   0.40432015 ... -0.29811552  1.381193
  2.041218  ]",[-1.4303213  4.5249033  0.8570595 ... -0.7303701  1.9635878  1.3893968]
42,The weather is pleasant., The weather is unpleasant.,[ 2.334046  -1.4544877  1.6727413 ... -1.992473  -1.7834457  2.4580956],"[ 0.5592786   0.08038564  1.1500986  ... -1.4321873  -2.8313658
  2.2392209 ]"
43,He is a honest man., He is a dishonest man.,"[ 2.2626355   8.712283    1.2499814  ... -0.69392514 -0.27910748
  3.4374876 ]","[ 1.7696277   8.868402    0.74153614 ...  0.22369343 -0.18050726
  2.523536  ]"
44,She is intelligent., She is unintelligent.,"[-1.0816231   7.7341375   3.5228708  ... -0.20584828 -4.6297545
  4.492038  ]","[ 1.2162483   5.670558    2.1605203  ... -0.09708794 -1.4712852
  1.4939358 ]"
45,The solution is effective., The solution is ineffective.,"[ 2.1429641   6.51118     0.2685414  ... -0.14785144 -0.34319574
  0.7152664 ]",[2.3838573  5.272742   0.39290768 ... 0.19220963 0.6011752  0.66374123]
46,The design is elegant., The design is clumsy.,"[-1.602259   -0.11604588 -0.29636565 ... -1.3427702  -1.3991897
  2.430722  ]","[-0.92480963 -0.17149608  1.0790994  ... -0.93255174 -0.0740767
  1.8921295 ]"
47,The presentation was clear., The presentation was unclear.,"[-0.02061225  0.2621108   1.2531006  ... -2.0713234   0.89159983
  0.8463832 ]","[-0.9541313   0.14589024  1.1474342  ... -2.1761854   0.66883147
  1.8975064 ]"
48,The explanation was simple., The explanation was complicated.,"[ 2.2355802   3.4731197   0.78851205 ... -0.39537516  0.32905614
  1.4895562 ]","[ 0.90957564  2.2345004   1.0133055  ... -0.6501179  -0.5610847
  2.37886   ]"
49,The instructions are easy to follow., The instructions are difficult to follow.,"[ 1.1110617   4.11609     0.41306168 ... -0.6386956   1.4529709
  3.3650243 ]",[-1.04074    5.4667196  1.1133063 ... -1.3234434 -0.568775   3.307408 ]
50,The meeting was productive., The meeting was unproductive.,"[ 2.395286   -1.5465305   0.51931775 ... -1.3485132   1.2803476
  1.5947721 ]","[ 2.4283416  -1.5953814  -0.5625244  ...  0.11881093  1.3108137
  2.0485723 ]"
51,The outcome was positive., The outcome was negative.,"[ 0.86352766  4.40011     1.1928505  ... -1.407669    1.4644724
  2.0001688 ]","[ 0.3753074   4.5689025   0.89330196 ... -1.8031082   1.8620522
  1.1027422 ]"
52,The feedback was helpful., The feedback was unhelpful.,"[ 0.47040638  4.3794236   1.3754269  ... -1.2469561   0.97766876
  0.23355904]","[ 1.027486    2.8435543   0.97545844 ... -0.718587    1.708507
  0.19672592]"
53,The response was quick., The response was slow.,"[ 0.92578536  4.195305    0.7935832  ... -0.77673686  0.25189328
  1.4214598 ]","[-1.129315    3.6818435   2.3870351  ... -1.6383156   0.56065255
  1.9396467 ]"
54,The progress is significant., The progress is insignificant.,"[ 1.3041956   1.4803727   1.9294828  ... -0.4089974  -0.60707414
  0.87850475]","[ 1.9603851   1.1479499   2.528881   ... -0.12172572 -0.21561642
  1.6488155 ]"
55,The result is favorable., The result is unfavorable.,[ 1.8891697  3.2819626  0.449472  ... -0.9305941  1.6696751  2.9768605],"[-0.44084963  3.3912406   0.5069756  ... -0.97413903  1.7109779
  3.1853237 ]"
56,The impact is substantial., The impact is negligible.,"[-0.33894533  4.969619    2.0444722  ...  0.55339646 -0.60372436
  0.7897419 ]",[0.945506  3.7451255 1.8861889 ... 0.1010406 0.1519289 1.2241352]
57,The effect is noticeable., The effect is unnoticeable.,"[-0.20484665  2.486733    0.95816505 ...  0.30269265 -1.7197498
  0.47780395]","[ 0.96828926  3.1077666   1.3745221  ...  0.5811496  -0.6744135
  0.71183264]"
58,The improvement is remarkable., The improvement is unremarkable.,"[ 1.2727107   1.8588021   1.149543   ... -0.5730975   0.06134667
  1.1454893 ]",[2.3029556  0.3747992  0.6873889  ... 0.01657045 0.79827607 0.48634943]
59,The difference is considerable., The difference is inconsiderable.,"[ 0.37082148  0.54225093 -0.13127351 ... -1.3243845  -2.0554366
  1.9072573 ]",[ 0.9781856  0.4189683 -0.5328941 ... -1.3203075 -1.0406529  0.8982765]
60,The change is drastic., The change is insignificant.,"[-1.1970855  -0.16739345  1.6863825  ...  0.8780414  -2.6112757
  1.1100597 ]",[ 1.3748906  1.2542628  1.6229451 ...  0.8386224 -1.0766723  1.0988982]
61,The variation is substantial., The variation is negligible.,"[ 0.21163717 -1.3961625   1.184904   ... -1.0554314  -2.4318583
  2.3890367 ]","[ 1.9977987  -0.45617357  0.88722515 ... -1.0214586  -1.3502765
  2.0338054 ]"
62,The fluctuation is significant., The fluctuation is insignificant.,"[ 0.73158115  1.0577232  -0.18852527 ...  0.52770674 -2.171618
  1.5328226 ]","[ 2.290688    1.3319241  -0.31707308 ...  0.5109032  -1.3535466
  1.455217  ]"
63,The increase is substantial., The increase is insubstantial.,"[ 0.8970515   0.4742341   1.0192429  ... -0.29998347 -0.27453774
  3.3920379 ]","[ 1.3648478   0.8036171   0.3858158  ... -0.24267888  1.1250545
  2.2776144 ]"
64,The decrease is considerable., The decrease is inconsiderable.,"[ 1.3819095  -0.25277004 -0.23647642 ... -0.40595025 -0.29993847
  2.1669536 ]","[ 1.8508369   0.6320385  -0.603056   ... -0.30507013  0.86878765
  1.6186756 ]"
65,The growth is impressive., The growth is unimpressive.,"[ 0.14608331  0.48285255  2.2111628  ... -0.1581717  -0.89432156
  1.9710907 ]","[ 1.2810189   0.15012132  2.1201298  ...  0.19635487 -0.6596864
  1.9055489 ]"
66,The decline is significant., The decline is insignificant.,"[ 1.8885489  -1.4399964  -0.4156649  ... -0.33283988  0.13493624
  2.6147559 ]","[ 3.6636481e+00 -5.4794365e-01  6.2220693e-02 ... -2.7834177e-03
  9.8999918e-01  2.4815345e+00]"
67,The journey was enjoyable., The journey was unenjoyable.,"[ 1.5726798  -1.3512208   2.1802754  ... -0.42263523  0.5769262
  1.8377678 ]","[ 0.7509495  -0.7153585   1.291791   ...  0.25370273  0.607341
  1.5620772 ]"
68,The experience was rewarding., The experience was unrewarding.,"[ 0.23063166  2.9206722   1.3812218  ... -1.0964069   0.255239
  2.0167956 ]","[ 1.0587752   2.8659687   0.88013726 ... -1.315521    1.869295
  0.5817822 ]"
69,The vacation was relaxing., The vacation was stressful.,[ 3.105497  -2.018362   2.7833498 ... -0.8253666  4.8066964  3.3132477],"[ 0.97823346 -1.6488979   2.1293106  ... -0.86439836  2.3411648
  3.908609  ]"
70,The party was fun., The party was boring.,"[ 1.9714453  -2.3234928   0.9559866  ... -0.9051782   0.16514254
  1.7785728 ]","[ 2.5399613  -1.1802077   0.258533   ... -0.28542963  2.0539174
  0.6556721 ]"
71,The dinner was delicious., The dinner was tasteless.,"[ 0.09352587 -0.19646397  1.4766444  ...  0.87448615 -0.2842664
  0.85929585]","[-0.23584382  0.07374725  1.8925385  ...  1.9644185   0.6568664
 -1.082863  ]"
72,The coffee is hot., The coffee is cold.,[-2.5244706  4.6199145  5.494426  ... -1.1975194 -0.3823878  4.2504725],"[-1.2265394   3.6178856   2.7341034  ... -0.97983885  0.05649612
  3.5131001 ]"
73,The room is clean., The room is dirty.,"[ 2.5207658  -1.7708296   1.9890232  ...  0.34359938 -2.049409
  2.7646334 ]","[ 1.9768269  -0.92586756  2.14589    ...  0.5200622  -2.1065776
  3.5840468 ]"
74,The house is comfortable., The house is uncomfortable.,"[ 2.0988662  -2.552977    2.5872054  ... -0.49418086 -1.9318193
  3.2284832 ]",[ 0.8611139 -2.1364799  1.9512494 ...  0.2008915 -1.6030394  2.4118025]
75,The bed is soft., The bed is hard.,"[ 3.002821    2.0194273   2.4693642  ... -0.7712039  -0.25156814
  3.7636323 ]",[1.692573   1.785887   2.1762278  ... 0.26497233 0.7287482  3.694922  ]
76,The air is fresh., The air is stale.,[ 2.8353066  3.0864463  2.135924  ... -0.3106906 -4.146624   1.3518871],"[ 1.8369923   3.681301    2.0720544  ...  1.3541015  -3.7121673
 -0.06635473]"
77,The water is clear., The water is murky.,"[ 1.197258    2.6393409   2.6631675  ... -0.84371436 -4.4004383
  2.5751426 ]","[-0.9409405   2.1780715   3.2896962  ...  0.09615421 -4.88766
  1.8686136 ]"
78,The sky is blue., The sky is gray.,"[ 0.20177583  0.88257074  3.4854786  ... -0.45430952 -4.9222727
  1.3614824 ]","[ 0.26688385 -0.01990817  4.649156   ... -1.2445878  -3.8415494
  0.7237772 ]"
79,The day is bright., The day is dark.,[ 0.930037  -1.3205315  2.6303766 ...  0.571013  -1.6225927  1.0411015],"[-0.21190433 -1.0216484   2.863419   ...  1.2990558  -0.8429705
  0.9678114 ]"
80,The night is calm., The night is stormy.,"[ 1.3444166  -0.94747055  1.7746513  ... -0.02825524 -1.3879812
  0.4796729 ]","[-1.0949976  -0.57654303  1.7102036  ...  1.1764482  -3.5909002
 -0.5178567 ]"
81,The wind is gentle., The wind is fierce.,"[ 3.9577186   2.0413501   1.2231528  ... -0.20499249 -0.9872328
 -0.3960843 ]","[ 1.070879    3.7999616   1.1359285  ... -0.01979741 -0.8554298
  0.00987918]"
82,The rain is light., The rain is heavy.,"[ 3.1528754   2.1895936   3.2736423  ... -0.5461904  -4.3295965
  0.17634636]","[ 0.7774782   3.3575187   3.8955026  ...  0.16908708 -3.444495
 -0.11851096]"
83,The snow is soft., The snow is hard.,"[ 1.2563847   0.05054321 -0.7325486  ... -3.1021469  -1.306619
  0.6711295 ]","[ 0.6279723   1.4375975   0.48881778 ... -2.403645   -0.43231383
  0.93942386]"
84,The sun is warm., The sun is cold.,"[ 0.27326107  4.571438    3.2501419  ...  1.6084524  -4.1522226
  2.951293  ]","[ 0.55748147  4.802019    1.5820446  ...  1.5168421  -3.6626651
  3.065351  ]"
85,The fire is cozy., The fire is frightening.,"[ 0.43478498  0.84764564  1.304749   ... -1.2872019  -1.4989599
  3.187776  ]","[-3.001793    4.829909    2.06644    ... -0.99215287 -2.8393354
  2.44189   ]"
86,The music is upbeat., The music is depressing.,"[ 0.6020974   1.0569406   1.0717093  ... -0.09519491 -0.40724525
  0.6301711 ]","[ 1.2882447   1.8588827   1.0573047  ... -0.7769811   0.8666849
  0.42693964]"
87,The movie is funny., The movie is sad.,"[ 0.18824627  1.9420347   1.2753417  ... -0.10459261  0.3330037
  3.723571  ]","[ 0.12288614  2.3453      2.0245645  ... -1.0775445   0.07640357
  3.5626378 ]"
88,The story is sweet., The story is bitter.,"[ 0.92559814 -0.47826156  1.8141556  ...  0.99676144 -2.0708594
  2.07271   ]","[-0.6404508  -0.42536324  1.2651848  ...  1.2286438  -2.208305
  2.338553  ]"
89,The feeling is joyful., The feeling is sorrowful.,"[-1.2994074   2.0941658   1.4785458  ... -1.052408    0.52473813
  1.2291459 ]",[-0.792572   1.4614038  2.404689  ... -1.3030927  0.4804168  2.0988932]
90,The moment is precious., The moment is worthless.,"[-2.4880347   2.7933583   1.0651474  ... -0.06247602  0.38834834
  1.0620726 ]","[-0.24790409  3.0051987   2.3991556  ...  0.08047429  2.300872
  0.53254163]"
91,The memory is dear., The memory is painful.,[-1.1167475  4.550451   2.668763  ... -2.3059726 -0.1205863  2.4189947],[-2.3141751  2.986775   2.8386843 ... -1.0615723 -1.008257   2.4567244]
92,The relationship is strong., The relationship is weak.,"[ 1.8644965   1.7773523   1.0570537  ... -1.8865544   0.31149936
  2.8696923 ]",[ 2.899056   1.403172   0.7856747 ... -2.035096   1.2753103  2.7375655]
93,The friendship is true., The friendship is false.,"[ 3.7020333   3.5772984   3.025903   ... -0.24209318 -0.80948275
  1.1378062 ]","[ 4.061032    3.8187835   3.4898274  ... -0.15146314  1.267693
  0.90753585]"
94,The love is pure., The love is tainted.,"[ 1.233164    4.476146    1.2299172  ...  0.14816767 -2.1481526
  1.2254791 ]","[ 1.6190145   4.943073    2.915907   ...  0.59905505 -2.3790474
  2.1954675 ]"
95,The bond is unbreakable., The bond is fragile.,"[ 0.7366819   4.6949015   2.3957474  ... -0.3364021  -0.31440386
  1.4809992 ]","[ 1.3146288   4.8470445   2.6669543  ... -1.8573744  -0.76769555
  2.742313  ]"
96,The connection is profound., The connection is superficial.,"[ 1.0106496   3.4545913   2.8281512  ... -0.11968462 -1.5296783
  1.7852215 ]","[ 1.5197084   2.8955777   4.2423763  ... -0.09498654 -0.46716395
  1.4813058 ]"
97,I am optimistic about the future., I am pessimistic about the future.,"[-0.27112246  4.0589967   0.82990205 ... -2.684909   -1.3930813
  1.6242065 ]","[-1.1759982   2.427153   -0.03212115 ... -3.2308354  -0.17565277
  2.2460923 ]"
98,The test results were positive., The test results were negative.,[ 1.0905836  3.8874366  1.4625696 ... -0.6408048 -1.3761612  3.3448884],"[ 1.9521261   3.3711078   0.84822744 ... -1.1083863  -0.24744189
  2.953256  ]"
99,His response was enthusiastic., His response was unenthusiastic.,"[ 1.8129956   4.4556694   0.36829776 ... -1.5985402   1.8124825
  1.243909  ]","[ 2.6892307   2.753793    0.6493184  ... -0.8753319   0.5638997
  0.60242236]"
100,The feedback was constructive., The feedback was destructive.,"[ 0.68038523  3.4940305   0.8265489  ... -1.2620668   0.9900753
 -0.21643741]","[ 0.36827362  4.239583    0.82726085 ... -0.65437967  2.1522868
 -0.3555626 ]"
101,The news was encouraging., The news was discouraging.,"[ 0.7151186   1.8399975   0.6449572  ... -0.45395207 -0.02603016
  1.5833956 ]",[ 0.6368159  1.5140153  0.8180051 ... -1.4609551  0.5259896  0.6760691]
102,Her attitude was positive., Her attitude was negative.,[ 3.9130852  3.6668766  2.4067228 ... -1.9069113 -1.2545081  1.9120909],"[ 3.2881565   3.5393798   1.7168274  ... -1.4212563  -0.05272006
  1.4481882 ]"
103,The outcome was favorable., The outcome was unfavorable.,[ 1.3287978  3.7162957  1.1163098 ... -1.2346874  2.7215877  2.5500603],"[-0.00679537  3.9790661   1.087829   ... -1.107505    2.237073
  2.2251384 ]"
104,The impact was significant., The impact was insignificant.,"[-0.4460349   5.275222    1.1604131  ...  0.40686402 -0.84119684
  0.43256012]",[1.723983   3.6628304  1.7473156  ... 0.12431262 0.38315836 0.539731  ]
105,The change was beneficial., The change was detrimental.,"[ 0.43260399  2.023404    1.5791724  ...  0.84012365 -0.36504993
  0.7092105 ]","[-0.6367866   2.574553    1.4552206  ...  0.9489878   0.23290262
  0.9690412 ]"
106,The effect was profound., The effect was negligible.,"[ 0.42238778  5.001044    1.4621705  ...  0.5150771  -1.311423
 -0.05015158]","[ 2.4227295   3.3925228   1.6365856  ... -0.38882408  0.26228434
  0.7164322 ]"
107,The improvement was remarkable., The improvement was unremarkable.,"[ 1.8437716   1.2329216   1.50865    ... -0.68997806  0.26287645
  0.73556495]","[ 2.7734666   0.27917844  0.89692783 ... -0.23599267  0.7754722
  0.33162922]"
108,The difference was substantial., The difference was insubstantial.,"[ 0.564468    0.10066249 -0.40857762 ... -1.2723585  -2.189464
  1.2806008 ]","[ 1.0847571   0.55497926 -1.0565757  ... -1.6009417  -0.25825942
  0.65896744]"
109,The growth was impressive., The growth was unimpressive.,"[-1.0720730e-03 -5.4262817e-01  2.4144926e+00 ... -6.4716417e-01
 -3.6812487e-01  2.1100757e+00]","[ 1.4174708  -0.7441184   2.303306   ...  0.03737124 -0.18928573
  1.9749752 ]"
110,The decline was steep., The decline was gradual.,"[ 0.546425   -2.635323    0.6453739  ... -1.2119744  -0.22046986
  3.1923301 ]","[ 2.0406303  -2.4285226   0.9520451  ... -0.04643767  0.87570524
  2.23389   ]"
111,The increase was dramatic., The increase was minimal.,"[ 0.68964475  0.21229716  0.9484998  ... -0.54058504 -0.31344122
  2.6405149 ]","[ 1.9208965  -0.07030606  0.9467802  ... -0.11340697  0.32091933
  2.307617  ]"
112,The decrease was significant., The decrease was insignificant.,"[ 1.9658321  -0.46882138 -0.39343446 ... -0.5450255   0.5614473
  1.818999  ]","[ 3.3153412   0.3167376  -0.28928578 ... -0.46998864  0.55581564
  1.7342398 ]"
113,The progress was steady., The progress was slow.,"[ 1.5127847   0.6262234   2.4471776  ... -0.4922374   0.41399536
  1.9185479 ]","[ 0.27615517  0.29076833  2.6282306  ... -0.11707942 -0.2841894
  2.5272193 ]"
114,The project was successful., The project was unsuccessful.,"[ 1.8300015   1.7283661   0.78989935 ... -0.8646453  -0.9110368
  1.6888425 ]",[ 1.0040772  2.3767323  0.5366619 ... -0.5479587 -0.1331902  1.5779032]
115,The experiment was a success., The experiment was a failure.,[ 2.1349375  4.459949   1.5342222 ... -0.8576288 -2.646395   1.093618 ],"[ 1.6270059   3.704871    0.9860942  ... -0.46873116 -2.0153131
  1.1005731 ]"
116,The meeting was productive., The meeting was unproductive.,"[ 2.395286   -1.5465305   0.51931775 ... -1.3485132   1.2803476
  1.5947721 ]","[ 2.4283416  -1.5953814  -0.5625244  ...  0.11881093  1.3108137
  2.0485723 ]"
117,The negotiation was fruitful., The negotiation was fruitless.,[ 2.784391   1.6667067  1.2050676 ... -0.7738875  1.586347   2.328322 ],"[ 1.793115    3.0148258   1.693698   ... -0.74628615  1.589303
  1.1000322 ]"
118,The collaboration was effective., The collaboration was ineffective.,"[ 1.9364456   0.73448354  1.4302638  ... -1.8800118  -0.14584021
  1.1453974 ]","[ 2.071486    1.2428044   1.8277454  ... -1.3962024   0.53413844
  1.0166485 ]"
119,The communication was clear., The communication was unclear.,"[ 1.6715567   4.5650625   2.5320785  ... -2.152258   -0.45283207
  0.5969219 ]",[ 0.84795    4.143753   2.7673163 ... -2.2975495 -1.0187149  0.7901097]
120,The instructions were easy to follow., The instructions were difficult to follow.,"[ 1.4835097   4.555989    0.87249625 ... -1.6549723   1.5846387
  2.5812972 ]","[-0.93280125  4.1750903   1.4853946  ... -1.6948699  -0.00580323
  3.016109  ]"
121,The solution was simple., The solution was complex.,[2.676948   4.9025373  0.4684661  ... 0.4148112  0.38922524 0.34268793],"[ 1.2853357   3.8484967   1.2401243  ...  0.48365325 -1.3071886
  1.0150554 ]"
122,The explanation was straightforward., The explanation was convoluted.,"[ 2.2798066   3.1143494   0.12585154 ... -0.7391222   0.54149246
  1.5465934 ]","[ 2.1808045   1.0267766   0.25590023 ...  0.17521104 -1.6845739
  2.4858856 ]"
123,The presentation was engaging., The presentation was boring.,"[-1.4305165   0.10559461  0.5865402  ... -1.819835    0.8496946
  2.0425174 ]","[-0.48602304 -0.23967102 -0.01329811 ... -1.5522609   2.106729
  1.2101703 ]"
